elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Andukcapil,1) Kependudukan dan Catatan Sipil *,,,,,,,,,,,,
Andukcapil,1) Jumlah penduduk wajib KTP (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,2) Jumlah penduduk yang memiliki KTP Berdasarkan Jenis Kelamin **(Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,1) Laki-Laki (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,2) Wanita (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,3) Jumlah Penduduk > 17 yang ber-KTP Berdasarkan Jenis Kelamin **(Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,1) Laki-Laki (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,2) Wanita (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,4) Jumlah Penduduk >17 yang telah menikah (Orang),[sudah jelas],,,,,,,,,,,
Andukcapil,5) Jumlah Penduduk Menurut Jenis Kelamin **(Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,1) Laki-Laki (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,2) Perempuan (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,6) Jumlah pasangan nikah berakta nikah (Pasang),PERMEN 54,,,,,,,,,,,
Andukcapil,7) Jumlah keseluruhan pasangan nikah (Pasang),PERMEN 54,,,,,,,,,,,
Andukcapil,8) Jumlah Penduduk yang telah memiliki KK (Orang),[sudah jelas],,,,,,,,,,,
Andukcapil,9) Jumlah Penduduk yang telah memiliki Akta Kelahiran (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,2) Penduduk Memiliki Lahan **(Penduduk),PERMEN 54,,,,,,,,,,,
Andukcapil,1) Pertanian (Penduduk),PERMEN 54,,,,,,,,,,,
Andukcapil,2) Non Pertanian (Penduduk),PERMEN 54,,,,,,,,,,,
Andukcapil,3) Jumlah Keluarga Berdasarkan Mata Pencaharian **(KK),,,,,,,,,,,,
Andukcapil,1) Pertanian (KK),,,,,,,,,,,,
Andukcapil,2) Non Pertanian (KK),,,,,,,,,,,,
Andukcapil,4) Jumlah Penduduk Menurut Usia **(Orang),[sudah jelas],,,,,,,,,,,
Andukcapil,1) 4 - 6 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,2) 7 - 12 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,3) 13 - 15 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,4) 16 - 18 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,5) 19 - 24 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,6) 25 - 29 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,7) 30 -34 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,8) 35 - 39 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,9) 40 - 44 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,10) 45 - 49 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,11) 50 - 54 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,12) 55 - 59 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,13) 60 - 64 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,14) > 65 Tahun (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,5) Rasio Beban Ketergantungan (Dependency Ratio) (%),,,,,,,,,,,,
Andukcapil,6) Kepadatan Penduduk *,,,,,,,,,,,,
Andukcapil,1) Kawasan Perkotaan (Org/km2),". Kawasan Perkotaan adalah wilayah yang mempunyai kegiatan utama bukan pertanian, dengan susunan fungsi Kawasan sebagai tempat permukiman perkotaan, pemusatan dan distribusi pelayanan jasa pemerintahan, pelayanan sosial, dan kegiatan ekonomi. (PERATURAN PEMERINTAH REPUBLIK INDONESIA NOMOR 34 TAHUN 2009 TENTANG PEDOMAN PENGELOLAAN KAWASAN PERKOTAAN)",,,,,,,,,,,
Andukcapil,2) Kawasan Pedesaan (Org/km2),"Kawasan Pedesaan adalah wilayah yang mempunyai kegiatan utama pertanian, termasuk pengelolaan sumber daya alam, dengan susunan fungsi kawasan sebagai tempat permukiman perdesaan, pelayanan jasa pemerintahan, pelayanan sosial, dan kegiatan ekonomi. (MENTERI DALAM NEGERI REPUBLIK INDONESIA PERATURAN MENTERI DALAM NEGERI NOMOR 51 TAHUN 2007 TENTANG PEMBANGUNAN KAWASAN PERDESAAN BERBASIS MASYARAKAT )",,,,,,,,,,,
Andukcapil,7) X. Pertumbuhan Penduduk *,,,,,,,,,,,,
Andukcapil,1) 1. Laju Pertumbuhan Alamiah Penduduk (%/Tahun) (%),,,,,,,,,,,,
Andukcapil,2) 2. Jumlah Kematian Bayi (Berumur Kurang 1 tahun) (Jiwa),PERMEN 54,,,,,,,,,,,
Andukcapil,3) Angka Kematian Bayi (IMR) (%),,,,,,,,,,,,
Andukcapil,4) Angka Kematian Ibu (MMR) (Jiwa),,,,,,,,,,,,
Andukcapil,5) Tingkat Migrasi (Masuk/Keluar) *,Keimigrasian adalah hal ihwal lalu lintas orang yang masuk atau keluar Wilayah Indonesia serta pengawasannya dalam rangka menjaga tegaknya kedaulatan negara. (UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 6 TAHUN 2011 TENTANG KEIMIGRASIAN),,,,,,,,,,,
Andukcapil,1) Jumlah Migrasi Masuk (Jiwa),,,,,,,,,,,,
Andukcapil,2) Jumlah Migrasi Keluar (Jiwa),,,,,,,,,,,,
Andukcapil,6) Jumlah Kelahiran Hidup (Jiwa),PERMEN 54,,,,,,,,,,,
Andukcapil,7) Rata-rata Anak Yang Dilahirkan Hidup (Jiwa),,,,,,,,,,,,
Andukcapil,8) Rata-rata Anak Yang Masih Hidup (Jiwa),,,,,,,,,,,,
Andukcapil,8) Rata-Rata Angka Harapan Hidup ***(Tahun),PERMEN 54,,,,,,,,,,,
Andukcapil,1) Laki - Laki (Tahun),PERMEN 54,,,,,,,,,,,
Andukcapil,2) Perempuan (Tahun),PERMEN 54,,,,,,,,,,,
Andukcapil,9) Jumlah Penduduk Berdasarkan Tingkat Pendidikan **(Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,1) Tidak Tamat SD (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,2) Tamat SD (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,3) Tamat SMP (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,4) Tamat SMA (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,5) Diploma (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,6) Sarjana S1 (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,7) Sarjana S2 (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,8) Sarjana S3 (Orang),PERMEN 54,,,,,,,,,,,
Andukcapil,10) Keluarga *,,,,,,,,,,,,
Andukcapil,1) Jumlah Keluarga (KK) (KK),"(PERMEN 54) Kartu Keluarga, selanjutnya disingkat KK, adalah kartu identitas keluarga yang memuat data tentang nama, susunan dan hubungan dalam keluarga, serta identitas anggota keluarga.",,,,,,,,,,,
Andukcapil,2) Jumlah Anak (Anak),PERMEN 54,,,,,,,,,,,
Andukcapil,11) Jumlah Rumah Tangga (RT),PERMEN 54,,,,,,,,,,,
Andukcapil,12) Ukuran Rumah Tangga (Orang/RT) (Orang),,,,,,,,,,,,
Andukcapil,13) Jumlah Rumah Tinggal (Unit),,,,,,,,,,,,
