elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
ESDM,1) Pertambangan,"Pertambangan adalah kegiatan dalam rangka pengusahaan mineral atau batubara yang meliputi tahapan kegiatan penyelidikan umum, eksplorasi, studi kelayakan, konstruksi, penambangan, pengolahan dan pemurnian, pengangkutan dan penjualan, serta pascatambang. (UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 4 TAHUN 2009)",,,,,,,,,,,
ESDM,1) Minyak Bumi dan Gas Alam,Pasal 1 Undang-undang Nomor 22 Tahun 2001.(Pasal 1 Undang-undang Nomor 22 Tahun 2001),,,,,,,,,,,
ESDM,1) Minyak Mentah *,,,,,,,,,,,,
ESDM,1) Total Produksi (Barel),,,,,,,,,,,,
ESDM,2) Realisasi Lifting (Barel),,,,,,,,,,,,
ESDM,3) BUMN *,,,,,,,,,,,,
ESDM,1) Jumlah Kilang (Unit),,,,,,,,,,,,
ESDM,2) Jumlah Produksi (Barel),,,,,,,,,,,,
ESDM,4) BUMD *,,,,,,,,,,,,
ESDM,1) Jumlah Kilang (Unit),,,,,,,,,,,,
ESDM,2) Jumlah Produksi (Barel),,,,,,,,,,,,
ESDM,5) PMA *,,,,,,,,,,,,
ESDM,1) Jumlah Kilang (Unit),,,,,,,,,,,,
ESDM,2) Jumlah Produksi (Barel),,,,,,,,,,,,
ESDM,2) Gas Alam *,,,,,,,,,,,,
ESDM,1) Total Produksi (M3),,,,,,,,,,,,
ESDM,2) Realisasi Lifting (MMBTU),,,,,,,,,,,,
ESDM,3) BUMN *,,,,,,,,,,,,
ESDM,1) Jumlah Kilang (Unit),,,,,,,,,,,,
ESDM,2) Jumlah Produksi (Barel),,,,,,,,,,,,
ESDM,4) BUMD *,,,,,,,,,,,,
ESDM,1) Jumlah Kilang (Unit),,,,,,,,,,,,
ESDM,2) Jumlah Produksi (Barel),,,,,,,,,,,,
ESDM,5) PMA *,,,,,,,,,,,,
ESDM,1) Jumlah Kilang (Unit),,,,,,,,,,,,
ESDM,2) Jumlah Produksi (Barel),,,,,,,,,,,,
ESDM,2) Mineral *,,,,,,,,,,,,
ESDM,1) Batubara *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,2) Timah *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,3) Besi/Baja *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,4) Tembaga *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,5) Biji Nikel *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,6) Emas *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,7) Perak *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,8) Gamping *,,,,,,,,,,,,
ESDM,1) Produksi Gamping (Ton),,,,,,,,,,,,
ESDM,2) Produksi Kapur (Ton),,,,,,,,,,,,
ESDM,3) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,9) Andesit *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,10) Marmer *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,11) Granit *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,12) Basalt *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,13) Aspal *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,14) Pasir *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,15) Batu Split *,,,,,,,,,,,,
ESDM,1) Produksi (Ton),,,,,,,,,,,,
ESDM,2) Jumlah Perusahaan (Buah),(PERMEN 54),,,,,,,,,,,
ESDM,2) Energi *,,,,,,,,,,,,
ESDM,1) Sumber Energi Listrik *,,,,,,,,,,,,
ESDM,1) PLTA *,,,,,,,,,,,,
ESDM,1) Jumlah (Unit),,,,,,,,,,,,
ESDM,2) Kapasitas (Kva/Kwh),,,,,,,,,,,,
ESDM,3) Cakupan Wilayah (Km2),,,,,,,,,,,,
ESDM,2) PLTG *,,,,,,,,,,,,
ESDM,1) Jumlah (Unit),,,,,,,,,,,,
ESDM,2) Kapasitas (Kva/Kwh),,,,,,,,,,,,
ESDM,3) Cakupan Wilayah (Km2),,,,,,,,,,,,
ESDM,3) PLTU *,,,,,,,,,,,,
ESDM,1) Jumlah (Unit),,,,,,,,,,,,
ESDM,2) Kapasitas (Kva/Kwh),,,,,,,,,,,,
ESDM,3) Cakupan Wilayah (Km2),,,,,,,,,,,,
ESDM,4) PLTD *,,,,,,,,,,,,
ESDM,1) Jumlah (Unit),,,,,,,,,,,,
ESDM,2) Kapasitas (Kva/Kwh),,,,,,,,,,,,
ESDM,3) Cakupan Wilayah (Km2),,,,,,,,,,,,
ESDM,5) PLTS *,,,,,,,,,,,,
ESDM,1) Jumlah (Unit),,,,,,,,,,,,
ESDM,2) Kapasitas (Kva/Kwh),,,,,,,,,,,,
ESDM,3) Cakupan Wilayah (Km2),,,,,,,,,,,,
ESDM,6) PLTMH *,,,,,,,,,,,,
ESDM,1) Jumlah (Unit),,,,,,,,,,,,
ESDM,2) Kapasitas (Kva/Kwh),,,,,,,,,,,,
ESDM,3) Cakupan Wilayah (Km2),,,,,,,,,,,,
ESDM,7) PLTP *,,,,,,,,,,,,
ESDM,1) Jumlah (Unit),,,,,,,,,,,,
ESDM,2) Kapasitas (Kva/Kwh),,,,,,,,,,,,
ESDM,3) Cakupan Wilayah (Km2),,,,,,,,,,,,
ESDM,2) Jangkauan Pelayanan Energi Listrik *,,,,,,,,,,,,
ESDM,1) Jumlah Keluarga Yang Menggunakan Listrik (PLN) (KK),(PERMEN 54),,,,,,,,,,,
ESDM,2) Jumlah Keluarga Yang Menggunakan Listrik Non PLN (KK),,,,,,,,,,,,
ESDM,3) Jumlah Keluarga Yang Belum Menggunakan Listrik (KK),,,,,,,,,,,,
ESDM,4) Jumlah Rumah Tangga Yang Menggunakan Listrik (PLN) **(RT),,,,,,,,,,,,
ESDM,1) Rumah Tangga dengan daya 450 watt (RT),(PERMEN 54),,,,,,,,,,,
ESDM,2) Rumah Tangga dengan daya 900 watt (RT),(PERMEN 54),,,,,,,,,,,
ESDM,3) Rumah Tangga dengan daya 1300 watt (RT),(PERMEN 54),,,,,,,,,,,
ESDM,4) Rumah Tangga dengan daya 2200 watt (RT),(PERMEN 54),,,,,,,,,,,
ESDM,5) Rumah Tangga dengan daya >2200 watt (RT),(PERMEN 54),,,,,,,,,,,
ESDM,5) Daya Listrik Terpasang (GWH),(PERMEN 54),,,,,,,,,,,
ESDM,6) Jumlah Kebutuhan Listrik (GWH),(PERMEN 54),,,,,,,,,,,
ESDM,2) Pertambangan Minyak dan Gas Bumi(Rp Juta),(PERMEN 54),,,,,,,,,,,
ESDM,3) Pertambangan Bukan Migas(Rp Juta),(PERMEN 54),,,,,,,,,,,
ESDM,4) Penggalian(Rp Juta),(PERMEN 54),,,,,,,,,,,
ESDM,5) Pengilangan Minyak Bumi(Rp Juta),(PERMEN 54),,,,,,,,,,,
