elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
KB,1) Jumlah rumah tangga(RT),,,,,,,,,,,,
KB,2) Jumlah kepala keluarga menurut status perkawinan,,,,,,,,,,,,
KB,1) Kawin(ORANG),,,,,,,,,,,,
KB,2) Tidak Kawin(ORANG),,,,,,,,,,,,
KB,3) Janda/duda(ORANG),,,,,,,,,,,,
KB,3) Jumlah anggota keluarga menurut jenis kelamin(ORANG),,,,,,,,,,,,
KB,1) Laki laki(ORANG),,,,,,,,,,,,
KB,2) Perempuan(ORANG),,,,,,,,,,,,
KB,4) Rata-rata jumlah anak per keluarga (ANAK/KELUARGA),,,,,,,,,,,,
KB,5) Jumlah Penduduk per Kelompok Umur,,,,,,,,,,,,
KB,1) 0 - 4 tahun(ORANG),,,,,,,,,,,,
KB,2) 5 - 9 tahun(ORANG),,,,,,,,,,,,
KB,3) 10 - 14 tahun(ORANG),,,,,,,,,,,,
KB,4) 15 - 19 tahun(ORANG),,,,,,,,,,,,
KB,5) 20 - 24 tahun(ORANG),,,,,,,,,,,,
KB,6) 25 - 29 tahun(ORANG),,,,,,,,,,,,
KB,7) 30 - 34 tahun(ORANG),,,,,,,,,,,,
KB,8) 35 - 39 tahun(ORANG),,,,,,,,,,,,
KB,9) 40 - 44 tahun(ORANG),,,,,,,,,,,,
KB,10) 45 - 49 tahun(ORANG),,,,,,,,,,,,
KB,11) 50 - 54 tahun(ORANG),,,,,,,,,,,,
KB,12) 55 - 59 tahun(ORANG),,,,,,,,,,,,
KB,13) 60 - 64 tahun(ORANG),,,,,,,,,,,,
KB,14) 65 tahun +(ORANG),,,,,,,,,,,,
KB,6) Total Fertility Rate(anak),,,,,,,,,,,,
KB,7) Age Specific Fertility Rate(anak),,,,,,,,,,,,
KB,8) Contraceptive Prevalence Rate(%),,,,,,,,,,,,
KB,9) Unmet Need(%),,,,,,,,,,,,
KB,10) Rasio akseptor KB,PERMEN 54,,,,,,,,,,,
KB,11) Jumlah Peserta KB aktif,PERMEN 54,,,,,,,,,,,
KB,1) Laki-Laki(%),,,,,,,,,,,,
KB,2) Laki-Laki,,,,,,,,,,,,
KB,3) Perempuan,,,,,,,,,,,,
KB,12) Jumlah Peserta KB baru(ORANG),PERMEN 54,,,,,,,,,,,
KB,1) Laki-Laki(ORANG),,,,,,,,,,,,
KB,2) Perempuan,,,,,,,,,,,,
KB,13) Jumlah Pasangan Usia Subur(ORANG),PERMEN 54,,,,,,,,,,,
KB,14) Jumlah pasangan usia subur yang sedang menjadi peserta Keluarga Berencana(ORANG),PERMEN 54,,,,,,,,,,,
KB,15) Jumlah pasangan usia subur yang tidak menjadi peserta Keluarga Berencana(Pasang),,,,,,,,,,,,
KB,16) Jumlah Jiwa Menurut Agama(Pasang),,,,,,,,,,,,
KB,1) Islam(Pasang),,,,,,,,,,,,
KB,2) katolik,,,,,,,,,,,,
KB,3) Protestan,,,,,,,,,,,,
KB,4) Hindu(jiwa),,,,,,,,,,,,
KB,5) Katolik(jiwa),,,,,,,,,,,,
KB,6) khonghucu(jiwa),,,,,,,,,,,,
KB,7) Aliran Kepercayaan(jiwa),,,,,,,,,,,,
KB,17) Jumlah yang Memiliki Pakaian Baru(jiwa),,,,,,,,,,,,
KB,1) 1 pasang setahun(jiwa),,,,,,,,,,,,
KB,2) lebih dari 1 pasang per tahun(jiwa),,,,,,,,,,,,
