elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Kearsipan,1) Pengelolaan arsip dinamis Pemerintah Daerah provinsi dan BUMD provinsi.,,,,,,,,,,,,
Kearsipan,1) Pembentukan kebijakan pengelolaan arsip dinamis,,,,,,,,,,,,
Kearsipan,1) Jumlah produk hukum bidang kearsipan di lingkungan pemerintah daerah provinsi,,,,,,,,,,,,
Kearsipan,2) Pemberian bimbingan teknis pengelolaan arsip dinamis,,,,,,,,,,,,
Kearsipan,1) Jumlah OPD (Organisasi Perangkat Daerah) yang mendapatkan bimbingan(SKPD),,,,,,,,,,,,
Kearsipan,2) Jumlah Lembaga Vertikal Pusat di daerah yang mendapatkan bimbingan,,,,,,,,,,,,
Kearsipan,3) Jumlah Pencipta Arsip Kabupaten/Kota yang mendapatkan bimbingan,,,,,,,,,,,,
Kearsipan,4) Jumlah BUMD yang mendapatkan bimbingan,,,,,,,,,,,,
Kearsipan,3) Pemberian supervisi pengelolaan arsip dinamis,,,,,,,,,,,,
Kearsipan,1) Jumlah OPD yang mendapatkan Supervisi,,,,,,,,,,,,
Kearsipan,2) Jumlah Lembaga Vertikal Pusat di daerah yang mendapatkan Supervisi,,,,,,,,,,,,
Kearsipan,3) Jumlah Pencipta Arsip Kabupaten/Kota yang mendapatkan Supervisi,,,,,,,,,,,,
Kearsipan,4) Jumlah BUMD yang mendapatkan Supervisi,,,,,,,,,,,,
Kearsipan,"5) Jumlah Organisasi Kemasyarakatan, organisasi politik dan perseorangan yang mendapat Supervisi",,,,,,,,,,,,
Kearsipan,4) Pemberian bimbingan konsultasi pengelolaan arsip dinamis,,,,,,,,,,,,
Kearsipan,1) Jumlah OPD yang mendapatkan Bimbingan Konsultasi,,,,,,,,,,,,
Kearsipan,2) Jumlah Lembaga Vertikal Pusat di daerah yang mendapatkan Bimbingan Konsultasi,,,,,,,,,,,,
Kearsipan,3) Jumlah Pencipta Arsip Kabupaten/Kota yang mendapatkan Bimbingan Konsultasi,,,,,,,,,,,,
Kearsipan,4) Jumlah BUMD yang mendapat Bimbingan Konsultasi(Lambaga),,,,,,,,,,,,
Kearsipan,"5) Pemberian bimbingan penggunaan arsip dalam rangka pemeriksaan, penegakan hukum, dan informasi bagi m",,,,,,,,,,,,
Kearsipan,1) Jumlah OPD yang mendapatkan Layanan(BUMD),,,,,,,,,,,,
Kearsipan,2) Jumlah Lembaga Vertikal Pusat di daerah yang mendapatkan Layanan,,,,,,,,,,,,
Kearsipan,3) Jumlah Pencipta Arsip Kabupaten/Kota yang mendapatkan Layanan,,,,,,,,,,,,
Kearsipan,4) Jumlah BUMD yang mendapatkan Layanan,,,,,,,,,,,,
Kearsipan,6) Sosialisasi Kearsipan kepada Masyarakat di luar pemerintahan(SKPD),,,,,,,,,,,,
Kearsipan,1) Jumlah sosialisasi yang dilakukan dalam 1 tahun(org),,,,,,,,,,,,
Kearsipan,7) Penyuluhan Kearsipan kepada Masyarakat di luar pemerintahan,,,,,,,,,,,,
Kearsipan,1) Jumlah penyuluhan yang dilakukan dalam 1 tahun,,,,,,,,,,,,
Kearsipan,8) Penyuluhan Kearsipan kepada Masyarakat di luar pemerintahan,,,,,,,,,,,,
Kearsipan,1) Jumlah penyuluhan yang dilakukan dalam 1 tahun,,,,,,,,,,,,
Kearsipan,9) Pengawasan terhadap penyelenggaraan kearsipan pada pencipta arsip,,,,,,,,,,,,
Kearsipan,1) Jumlah OPD/SKPD yang diawasi,,,,,,,,,,,,
Kearsipan,10) Penilaian prestasi kerja SDM kearsipan,,,,,,,,,,,,
Kearsipan,1) Jumlah Arsiparis/tenaga kearsipan yang dinilai pada setiap tahun,,,,,,,,,,,,
Kearsipan,"2) Pengelolaan arsip statis yang diciptakan oleh Pemerintah Daerah provinsi, BUMD provinsi, perusahaan",,,,,,,,,,,,
Kearsipan,1) Mengakuisisi Arsip,,,,,,,,,,,,
Kearsipan,1) Jumlah arsip yang diakuisisi dari OPD dan lembaga vertikal,,,,,,,,,,,,
Kearsipan,2) Jumlah arsip yang diakuisisi dari BUMD,,,,,,,,,,,,
Kearsipan,2) Mengolah Arsip statis,,,,,,,,,,,,
Kearsipan,1) Jumlah arsip yang diolah dari OPD dan lembaga vertikal,,,,,,,,,,,,
Kearsipan,2) Jumlah arsip yang diolah dari BUMD,,,,,,,,,,,,
Kearsipan,"3) Jumlah arsip yang diolah dari organisasi kemasyarakatan, organisasi politik dan perseorangan",,,,,,,,,,,,
Kearsipan,4) Jumlah daftar arsip/inventaris arsip yang dihasilkan,,,,,,,,,,,,
Kearsipan,3) Menyimpan arsip statis,,,,,,,,,,,,
Kearsipan,1) Jumlah arsip yang disimpan dari OPD dan lembaga vertikal,,,,,,,,,,,,
Kearsipan,2) Jumlah arsip yang disimpan dari BUMD,,,,,,,,,,,,
Kearsipan,4) Memberikan layanan arsip statis kepada masyarakat,,,,,,,,,,,,
Kearsipan,1) Jumlah arsip yang dilayankan dari OPD dan lembaga vertikal,,,,,,,,,,,,
Kearsipan,2) Jumlah arsip yang dilayankan dari BUMD,,,,,,,,,,,,
Kearsipan,3) Pengelolaan simpul jaringan dalam SIKN melalui JIKN,,,,,,,,,,,,
Kearsipan,1) Menyediakan daftar arsip dinamis dan arsip statis,,,,,,,,,,,,
Kearsipan,1) Jumlah arsip dinamis berbasis TIK melalui SIKD,,,,,,,,,,,,
Kearsipan,2) Jumlah arsip statis berbasis TIK melalui SIKS,,,,,,,,,,,,
Kearsipan,3) Jumlah arsip dinamis yang disampaikan ke pusat jaringan,,,,,,,,,,,,
Kearsipan,4) Jumlah arsip statis yang disampaikan ke pusat jaringan,,,,,,,,,,,,
Kearsipan,2) Penyampaian daftar arsip dinamis dan arsip statis kepada pusat jaringan,,,,,,,,,,,,
Kearsipan,1) Jumlah arsip dinamis berbasis TIK melalui SIKD,,,,,,,,,,,,
Kearsipan,2) Jumlah arsip statis berbasis TIK melalui SIKS,,,,,,,,,,,,
Kearsipan,3) Jumlah arsip dinamis yang disampaikan ke pusat jaringan,,,,,,,,,,,,
Kearsipan,4) Jumlah arsip statis yang disampaikan ke pusat jaringan,,,,,,,,,,,,
Kearsipan,4) Pemusnahan arsip di Lingkungan Pemerintah Daerah yang Memiliki retensi di bawah 10 (sepuluh) tahun,,,,,,,,,,,,
Kearsipan,1) Pertimbangan tim penilai dan Persetujuan tertulis,,,,,,,,,,,,
Kearsipan,1) Jumlah pertimbangan tertulis dari panitia penilai arsip,,,,,,,,,,,,
Kearsipan,2) Jumlah persetujuan tertulis dari gubernur,,,,,,,,,,,,
Kearsipan,5) Pelindungan dan penyelamatan arsip akibat bencana,,,,,,,,,,,,
