elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Kebudayaan,1) Seni dan Kebudayaan *,,,,,,,,,,,,
Kebudayaan,1) Jumlah Group kesenian (Group),PERMEN 54,,,,,,,,,,,
Kebudayaan,2) Jumlah Gedung kesenian (Unit),PERMEN 54,,,,,,,,,,,
Kebudayaan,3) Museum (Unit),,,,,,,,,,,,
Kebudayaan,4) Pusat Kebudayaan (Unit),,,,,,,,,,,,
Kebudayaan,1) Pusat Kebudayaan (Bangunan/Unit),"Pusat Kebudayaan adalah tempat dimana bisa diketahui atau dilihat tentang kebudayaan suatu suku, komunitas atau kelompok budaya.",,,,,,,,,,,
Kebudayaan,2) Pusat Kebudayaan (Kawasan/Lokasi),"Pusat Kebudayaan adalah tempat dimana bisa diketahui atau dilihat tentang kebudayaan suatu suku, komunitas atau kelompok budaya.",,,,,,,,,,,
Kebudayaan,5) Penyelenggaraan festival seni dan budaya (Penyelenggara),PERMEN 54,,,,,,,,,,,
Kebudayaan,6) Sarana Penyelenggaraan festival seni dan budaya (Unit),PERMEN 54,,,,,,,,,,,
Kebudayaan,2) Cagar Budaya Yang Dilestarikan *,,,,,,,,,,,,
Kebudayaan,1) Benda Cagar Budaya (Buah),PERMEN 54,,,,,,,,,,,
Kebudayaan,2) Bangunan Cagar Budaya (Unit),PERMEN 54,,,,,,,,,,,
Kebudayaan,3) Situs Cagar Budaya (Lokasi),PERMEN 54,,,,,,,,,,,
Kebudayaan,4) Kawasan Cagar Budaya (Kawasan),PERMEN 54,,,,,,,,,,,
Kebudayaan,3) Jumlah pameran/expo yang dilaksanakan per Tahun (Kegiatan),PERMEN 54,,,,,,,,,,,
Kebudayaan,4) Cagar Budaya Yang Dimiliki Daerah *,,,,,,,,,,,,
Kebudayaan,1) Benda Cagar Budaya (Buah),PERMEN 54,,,,,,,,,,,
Kebudayaan,2) Bangunan Cagar Budaya (Unit),PERMEN 54,,,,,,,,,,,
Kebudayaan,3) Situs Cagar Budaya (Lokasi),PERMEN 54,,,,,,,,,,,
Kebudayaan,4) Kawasan Cagar Budaya (Kawasan),PERMEN 54,,,,,,,,,,,
Kebudayaan,5) Warisan budaya Benda/Tak benda (karya budaya),"Tradisi, karya budaya yang diwariskan secara turun temurun yang di lestarikan",,,,,,,,,,,
