elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Kehutanan,1) Kehutanan *,,,,,,,,,,,,
Kehutanan,1) Hasil Hutan Non HPH *,,,,,,,,,,,,
Kehutanan,1) Kayu Bulat,,,,,,,,,,,,
Kehutanan,1) Jati(M3),,,,,,,,,,,,
Kehutanan,2) Mahoni(M3),,,,,,,,,,,,
Kehutanan,3) Pinus(M3),,,,,,,,,,,,
Kehutanan,4) Sengon(M3),,,,,,,,,,,,
Kehutanan,5) Agathis(M3),,,,,,,,,,,,
Kehutanan,6) Sonokeling(M3),,,,,,,,,,,,
Kehutanan,7) Rasamala(M3),,,,,,,,,,,,
Kehutanan,8) Puspa(M3),,,,,,,,,,,,
Kehutanan,9) Maesopsis(M3),,,,,,,,,,,,
Kehutanan,10) Acacia Mangium(M3),,,,,,,,,,,,
Kehutanan,11) Rimba Campuran(M3),,,,,,,,,,,,
Kehutanan,2) Kayu Gergajian (M3),,,,,,,,,,,,
Kehutanan,3) Kayu Olahan (M3),,,,,,,,,,,,
Kehutanan,2) Hasil Hutan Ikutan *,,,,,,,,,,,,
Kehutanan,1) Rotan (Ton),,,,,,,,,,,,
Kehutanan,2) Gaharu (Kg),,,,,,,,,,,,
Kehutanan,3) Getah Jeluntung (Kg),,,,,,,,,,,,
Kehutanan,4) Gando Rukem (Kg),,,,,,,,,,,,
Kehutanan,5) Kemiri (Kg),,,,,,,,,,,,
Kehutanan,6) Kenari (Kg),,,,,,,,,,,,
Kehutanan,7) Kemenyan (Kg),,,,,,,,,,,,
Kehutanan,8) Asam (Kg),,,,,,,,,,,,
Kehutanan,9) Minyak Lawang (Liter),,,,,,,,,,,,
Kehutanan,10) Kulit Kayu Medang Keladi (Kg),,,,,,,,,,,,
Kehutanan,11) Bambu (Batang),,,,,,,,,,,,
Kehutanan,12) Sarang Burung Walet (Kg),,,,,,,,,,,,
Kehutanan,13) Madu (Liter),,,,,,,,,,,,
Kehutanan,14) Sagu (Kg),,,,,,,,,,,,
Kehutanan,15) Nipah/Nira Gula (Kg),,,,,,,,,,,,
Kehutanan,16) Ijuk (Kg),,,,,,,,,,,,
Kehutanan,17) Kemedangan (Kg),,,,,,,,,,,,
Kehutanan,18) Biga (Kg),,,,,,,,,,,,
Kehutanan,19) Kayu Manis (M3),,,,,,,,,,,,
Kehutanan,20) Kayu Putih (Kg),,,,,,,,,,,,
Kehutanan,21) Damar(Ton),,,,,,,,,,,,
Kehutanan,22) Getah Pinus(Ton),,,,,,,,,,,,
Kehutanan,23) Getah Damar(Ton),,,,,,,,,,,,
Kehutanan,3) Lahan Reboisasi *,,,,,,,,,,,,
Kehutanan,1) Target (Ha),,,,,,,,,,,,
Kehutanan,2) Realisasi (Ha),,,,,,,,,,,,
Kehutanan,4) Luas Lahan Penghijauan *,,,,,,,,,,,,
Kehutanan,1) Pembuatan Baru (Ha),,,,,,,,,,,,
Kehutanan,2) Pemeliharaan (Ha),,,,,,,,,,,,
Kehutanan,5) Industri Pengolahan Hasil Hutan (Buah),,,,,,,,,,,,
Kehutanan,6) Luas Lahan Yang Dapat Dikembangkan Untuk Hutan Produksi *,,,,,,,,,,,,
Kehutanan,1) Terbatas (Ha),,,,,,,,,,,,
Kehutanan,2) Tetap (Ha),,,,,,,,,,,,
Kehutanan,3) Dapat Dikonversi (Ha),,,,,,,,,,,,
Kehutanan,7) Luas Land Use (Penggunaan Lahan) Lainnya Di Luar Hutan Negara (Ha),,,,,,,,,,,,
Kehutanan,8) Data Pinjam Pakai Kawasan Hutan,,,,,,,,,,,,
Kehutanan,1) Jumlah Lokasi(Unit),,,,,,,,,,,,
Kehutanan,2) Luas Lokasi(Ha),,,,,,,,,,,,
Kehutanan,3) Mulai Berlaku(Tgl/Bln/Thn),,,,,,,,,,,,
Kehutanan,4) Habis Masa Berlaku(Tgl/Bln/Thn),,,,,,,,,,,,
Kehutanan,5) Jumlah Lahan Kompensasi(Unit),,,,,,,,,,,,
Kehutanan,6) Luas Lahan Kompensasi(Ha),,,,,,,,,,,,
Kehutanan,9) Pembinaan Kelompok Masyarakat,,,,,,,,,,,,
Kehutanan,1) Perhutanan Sosial,,,,,,,,,,,,
Kehutanan,2) Agroforestry,,,,,,,,,,,,
Kehutanan,3) Hijauan Pakan Ternak,,,,,,,,,,,,
Kehutanan,4) Tanaman Obat-Obatan,,,,,,,,,,,,
Kehutanan,5) Penanaman & Pemeliharaan Mangrove,,,,,,,,,,,,
Kehutanan,6) Perlebahan Rakyat,,,,,,,,,,,,
Kehutanan,2) Luas Areal Hutan yang Terbakar (Ha),,,,,,,,,,,,
Kehutanan,3) Jumlah Korban Jiwa (Jiwa),,,,,,,,,,,,
Kehutanan,4) Jumlah Lokasi Kebakaran Hutan (Lokasi),,,,,,,,,,,,
Kehutanan,5) Volume Kayu yang Dicuri (M3),,,,,,,,,,,,
Kehutanan,6) Jumlah Kasus (Kasus),,,,,,,,,,,,
Kehutanan,7) Jumlah Lokasi Pencurian dan Penyelundup (Lokasi),,,,,,,,,,,,
Kehutanan,8) PDRB Subsektor Kehutanan(Rp Juta),PERMEN 54,,,,,,,,,,,
Kehutanan,9) Kehutanan(Rp Juta),PERMEN 54,,,,,,,,,,,
Kehutanan,"10) Pertanian, Peternakan, Kehutanan, dan Perikanan(Rp Juta)",PERMEN 54,,,,,,,,,,,
