elemen,indikator,defenisi,nilai
Kelautan_Perikanan,1) Kelautan dan Perikanan,,68.5
Kelautan_Perikanan,1) Perikanan Laut,,64.8
Kelautan_Perikanan,1) Jumlah Tangkapan Ikan (Ton),,97.3
Kelautan_Perikanan,2) Jumlah Kapal Penangkap Ikan,,67.4
Kelautan_Perikanan,1) Perahu Tanpa Motor (Unit),,70
Kelautan_Perikanan,2) Perahu Motor Tempel (Unit),,78.7
Kelautan_Perikanan,3) Kapal Motor (Unit),,33.6
Kelautan_Perikanan,3) Jumlah Tempat Pelelangan Ikan (Unit),,87.3
Kelautan_Perikanan,2) Hasil Laut,,96.3
Kelautan_Perikanan,1) Produksi,,94.1
Kelautan_Perikanan,1) Garam (Ton),,17.7
Kelautan_Perikanan,2) Rajungan (Ton),,7.1
Kelautan_Perikanan,3) Kepiting (Ton),,31.1
Kelautan_Perikanan,4) Ubur-ubur (Ton),,0.7
Kelautan_Perikanan,5) Kerang (Ton),,57.7
Kelautan_Perikanan,6) Ikan Krapu (Ton),,17.7
Kelautan_Perikanan,7) Teripang (Ton),,31.9
Kelautan_Perikanan,8) Tuna (Ton),,48
Kelautan_Perikanan,9) Udang (Ton),,42.9
Kelautan_Perikanan,10) Lobster (Ton),,49.7
Kelautan_Perikanan,11) Kakap Merah (Ton),,8.4
Kelautan_Perikanan,12) Rumput Laut (Ton),,40.5
Kelautan_Perikanan,13) Mutiara (Ton),,68.2
Kelautan_Perikanan,14) Lainnya (Ton),,46.3
Kelautan_Perikanan,2) Volume Ekspor,,4.6
Kelautan_Perikanan,1) Garam (Ton),,51.1
Kelautan_Perikanan,2) Rajungan (Ton),,36.2
Kelautan_Perikanan,3) Kepiting (Ton),,16
Kelautan_Perikanan,4) Ubur-ubur (Ton),,11.2
Kelautan_Perikanan,5) Kerang (Ton),,58.4
Kelautan_Perikanan,6) Ikan Krapu (Ton),,11.2
Kelautan_Perikanan,7) Teripang (Ton),,56.1
Kelautan_Perikanan,8) Tuna (Ton),,63.4
Kelautan_Perikanan,9) Udang (Ton),,10.3
Kelautan_Perikanan,10) Lobster (Ton),,64.9
Kelautan_Perikanan,11) Kakap Merah (Ton),,34.4
Kelautan_Perikanan,12) Rumput Laut (Ton),,50.3
Kelautan_Perikanan,13) Mutiara (Ton),,28.5
Kelautan_Perikanan,14) Lainnya (Ton),,9.9
Kelautan_Perikanan,3) Nilai Ekspor,,47.8
Kelautan_Perikanan,1) Garam (Juta),,86.8
Kelautan_Perikanan,2) Rajungan (Juta),,48.9
Kelautan_Perikanan,3) Kepiting (Juta),,55.7
Kelautan_Perikanan,4) Ubur-ubur (Juta),,26.8
Kelautan_Perikanan,5) Kerang (Juta),,80.5
Kelautan_Perikanan,6) Ikan Krapu (Juta),,81.6
Kelautan_Perikanan,7) Teripang (Juta),,50.9
Kelautan_Perikanan,8) Tuna (Juta),,22.8
Kelautan_Perikanan,9) Udang (Juta),,92.3
Kelautan_Perikanan,10) Lobster (Juta),,19.2
Kelautan_Perikanan,11) Kakap Merah (Juta),,83.1
Kelautan_Perikanan,12) Rumput Laut (Juta),,47.9
Kelautan_Perikanan,13) Mutiara (Juta),,47.7
Kelautan_Perikanan,14) Lainnya (Ton),,89.4
Kelautan_Perikanan,15) Ikan Segar ($),,46.1
Kelautan_Perikanan,4) Industri Pengolahan,PERMEN 54,71
Kelautan_Perikanan,1) Garam (Unit),,18
Kelautan_Perikanan,2) Rumput Laut (Unit),,91
Kelautan_Perikanan,3) Lainnya (Unit),,6.6
Kelautan_Perikanan,5) Luas Areal,,86
Kelautan_Perikanan,6) Volume Produk Olahan,Hasil olahan perikanan,33.4
Kelautan_Perikanan,1) Ikan Salai,,87
Kelautan_Perikanan,2) Kerupuk Ikan,,4.9
Kelautan_Perikanan,3) Ikan Asin,,6.6
Kelautan_Perikanan,4) Terasi,,38.6
Kelautan_Perikanan,5) Amplang,,0
Kelautan_Perikanan,7) Nilai Produk Olahan,,93.4
Kelautan_Perikanan,1) Ikan Salai,,13.9
Kelautan_Perikanan,2) Kerupuk Ikan,,31.2
Kelautan_Perikanan,3) Ikan Asin,,14.9
Kelautan_Perikanan,4) Terasi,,5.6
Kelautan_Perikanan,5) Amplang,,54.9
Kelautan_Perikanan,1) Garam (Unit),,8.4
Kelautan_Perikanan,2) Rumput Laut (Unit),,14.9
Kelautan_Perikanan,3) Lainnya (Unit),,82.8
Kelautan_Perikanan,3) Perikanan Darat,,24.7
Kelautan_Perikanan,1) Tambak,,1.9
Kelautan_Perikanan,1) Luas Areal (Ha),,36.2
Kelautan_Perikanan,2) Jumlah Produksi Udang Windu (Ton),,85.6
Kelautan_Perikanan,3) Jumlah Produksi Udang (Ton),,44.2
Kelautan_Perikanan,4) Jumlah Produksi Ikan Patin (Ton),,86.1
Kelautan_Perikanan,5) Jumlah Produksi Ikan Bandeng (Ton),,90.7
Kelautan_Perikanan,6) Jumlah Produksi Ikan Tambak Lainnya (Ton),,76.5
Kelautan_Perikanan,7) Nilai Produksi Usaha Tambak (Juta),,27.8
Kelautan_Perikanan,2) Kolam Air Deras,,93.2
Kelautan_Perikanan,1) Luas Areal (Ha),,13
Kelautan_Perikanan,2) Jumlah Produksi Ikan Mas (Ton),,57.4
Kelautan_Perikanan,3) Jumlah Produksi Ikan Mujair (Ton),,85.1
Kelautan_Perikanan,4) Jumlah Produksi Ikan Patin (Ton),,56.3
Kelautan_Perikanan,5) Jumlah Produksi Ikan Tawar Lainnya (Ton),,68.7
Kelautan_Perikanan,6) Nilai Produksi Usaha Kolam Air Deras (Juta),,60.5
Kelautan_Perikanan,3) Kolam Air Tenang,,70.5
Kelautan_Perikanan,1) Luas Areal (Ha),,96.1
Kelautan_Perikanan,2) Jumlah Produksi Ikan Sidat (Ton),,0.5
Kelautan_Perikanan,3) Jumlah Produksi Ikan Nila (Ton),,34.9
Kelautan_Perikanan,4) Jumlah Produksi Ikan Lele (Ton),,22.5
Kelautan_Perikanan,5) Jumlah Produksi Ikan Gurami (Ton),,53
Kelautan_Perikanan,6) Jumlah Produksi Ikan Tawar Lainnya (Ton),,11.6
Kelautan_Perikanan,7) Nilai Produksi Usaha Kolam Air Tenang (Juta),,9.5
Kelautan_Perikanan,4) Keramba/Siring,,68
Kelautan_Perikanan,1) Luas Areal (Ha),,23.2
Kelautan_Perikanan,2) Jumlah Karamba (Petak),,29.4
Kelautan_Perikanan,3) Jumlah Produksi Ikan Karper (Ton),,21
Kelautan_Perikanan,4) Jumlah Produksi Ikan Tawes (Ton),,54.6
Kelautan_Perikanan,5) Jumlah Produksi Ikan Sepat (Ton),,55.9
