elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Kelautan_Perikanan,1) Kelautan dan Perikanan,,,,,,,,,,,,
Kelautan_Perikanan,1) Perikanan Laut,,,,,,,,,,,,
Kelautan_Perikanan,1) Jumlah Tangkapan Ikan (Ton),,,,,,,,,,,,
Kelautan_Perikanan,2) Jumlah Kapal Penangkap Ikan,,,,,,,,,,,,
Kelautan_Perikanan,1) Perahu Tanpa Motor (Unit),,,,,,,,,,,,
Kelautan_Perikanan,2) Perahu Motor Tempel (Unit),,,,,,,,,,,,
Kelautan_Perikanan,3) Kapal Motor (Unit),,,,,,,,,,,,
Kelautan_Perikanan,3) Jumlah Tempat Pelelangan Ikan (Unit),,,,,,,,,,,,
Kelautan_Perikanan,2) Hasil Laut,,,,,,,,,,,,
Kelautan_Perikanan,1) Produksi,,,,,,,,,,,,
Kelautan_Perikanan,1) Garam (Ton),,,,,,,,,,,,
Kelautan_Perikanan,2) Rajungan (Ton),,,,,,,,,,,,
Kelautan_Perikanan,3) Kepiting (Ton),,,,,,,,,,,,
Kelautan_Perikanan,4) Ubur-ubur (Ton),,,,,,,,,,,,
Kelautan_Perikanan,5) Kerang (Ton),,,,,,,,,,,,
Kelautan_Perikanan,6) Ikan Krapu (Ton),,,,,,,,,,,,
Kelautan_Perikanan,7) Teripang (Ton),,,,,,,,,,,,
Kelautan_Perikanan,8) Tuna (Ton),,,,,,,,,,,,
Kelautan_Perikanan,9) Udang (Ton),,,,,,,,,,,,
Kelautan_Perikanan,10) Lobster (Ton),,,,,,,,,,,,
Kelautan_Perikanan,11) Kakap Merah (Ton),,,,,,,,,,,,
Kelautan_Perikanan,12) Rumput Laut (Ton),,,,,,,,,,,,
Kelautan_Perikanan,13) Mutiara (Ton),,,,,,,,,,,,
Kelautan_Perikanan,14) Lainnya (Ton),,,,,,,,,,,,
Kelautan_Perikanan,2) Volume Ekspor,,,,,,,,,,,,
Kelautan_Perikanan,1) Garam (Ton),,,,,,,,,,,,
Kelautan_Perikanan,2) Rajungan (Ton),,,,,,,,,,,,
Kelautan_Perikanan,3) Kepiting (Ton),,,,,,,,,,,,
Kelautan_Perikanan,4) Ubur-ubur (Ton),,,,,,,,,,,,
Kelautan_Perikanan,5) Kerang (Ton),,,,,,,,,,,,
Kelautan_Perikanan,6) Ikan Krapu (Ton),,,,,,,,,,,,
Kelautan_Perikanan,7) Teripang (Ton),,,,,,,,,,,,
Kelautan_Perikanan,8) Tuna (Ton),,,,,,,,,,,,
Kelautan_Perikanan,9) Udang (Ton),,,,,,,,,,,,
Kelautan_Perikanan,10) Lobster (Ton),,,,,,,,,,,,
Kelautan_Perikanan,11) Kakap Merah (Ton),,,,,,,,,,,,
Kelautan_Perikanan,12) Rumput Laut (Ton),,,,,,,,,,,,
Kelautan_Perikanan,13) Mutiara (Ton),,,,,,,,,,,,
Kelautan_Perikanan,14) Lainnya (Ton),,,,,,,,,,,,
Kelautan_Perikanan,3) Nilai Ekspor,,,,,,,,,,,,
Kelautan_Perikanan,1) Garam (Juta),,,,,,,,,,,,
Kelautan_Perikanan,2) Rajungan (Juta),,,,,,,,,,,,
Kelautan_Perikanan,3) Kepiting (Juta),,,,,,,,,,,,
Kelautan_Perikanan,4) Ubur-ubur (Juta),,,,,,,,,,,,
Kelautan_Perikanan,5) Kerang (Juta),,,,,,,,,,,,
Kelautan_Perikanan,6) Ikan Krapu (Juta),,,,,,,,,,,,
Kelautan_Perikanan,7) Teripang (Juta),,,,,,,,,,,,
Kelautan_Perikanan,8) Tuna (Juta),,,,,,,,,,,,
Kelautan_Perikanan,9) Udang (Juta),,,,,,,,,,,,
Kelautan_Perikanan,10) Lobster (Juta),,,,,,,,,,,,
Kelautan_Perikanan,11) Kakap Merah (Juta),,,,,,,,,,,,
Kelautan_Perikanan,12) Rumput Laut (Juta),,,,,,,,,,,,
Kelautan_Perikanan,13) Mutiara (Juta),,,,,,,,,,,,
Kelautan_Perikanan,14) Lainnya (Ton),,,,,,,,,,,,
Kelautan_Perikanan,15) Ikan Segar ($),,,,,,,,,,,,
Kelautan_Perikanan,4) Industri Pengolahan,PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,1) Garam (Unit),,,,,,,,,,,,
Kelautan_Perikanan,2) Rumput Laut (Unit),,,,,,,,,,,,
Kelautan_Perikanan,3) Lainnya (Unit),,,,,,,,,,,,
Kelautan_Perikanan,5) Luas Areal,,,,,,,,,,,,
Kelautan_Perikanan,6) Volume Produk Olahan,Hasil olahan perikanan,,,,,,,,,,,
Kelautan_Perikanan,1) Ikan Salai,,,,,,,,,,,,
Kelautan_Perikanan,2) Kerupuk Ikan,,,,,,,,,,,,
Kelautan_Perikanan,3) Ikan Asin,,,,,,,,,,,,
Kelautan_Perikanan,4) Terasi,,,,,,,,,,,,
Kelautan_Perikanan,5) Amplang,,,,,,,,,,,,
Kelautan_Perikanan,7) Nilai Produk Olahan,,,,,,,,,,,,
Kelautan_Perikanan,1) Ikan Salai,,,,,,,,,,,,
Kelautan_Perikanan,2) Kerupuk Ikan,,,,,,,,,,,,
Kelautan_Perikanan,3) Ikan Asin,,,,,,,,,,,,
Kelautan_Perikanan,4) Terasi,,,,,,,,,,,,
Kelautan_Perikanan,5) Amplang,,,,,,,,,,,,
Kelautan_Perikanan,1) Garam (Unit),,,,,,,,,,,,
Kelautan_Perikanan,2) Rumput Laut (Unit),,,,,,,,,,,,
Kelautan_Perikanan,3) Lainnya (Unit),,,,,,,,,,,,
Kelautan_Perikanan,3) Perikanan Darat,,,,,,,,,,,,
Kelautan_Perikanan,1) Tambak,,,,,,,,,,,,
Kelautan_Perikanan,1) Luas Areal (Ha),,,,,,,,,,,,
Kelautan_Perikanan,2) Jumlah Produksi Udang Windu (Ton),,,,,,,,,,,,
Kelautan_Perikanan,3) Jumlah Produksi Udang (Ton),,,,,,,,,,,,
Kelautan_Perikanan,4) Jumlah Produksi Ikan Patin (Ton),,,,,,,,,,,,
Kelautan_Perikanan,5) Jumlah Produksi Ikan Bandeng (Ton),,,,,,,,,,,,
Kelautan_Perikanan,6) Jumlah Produksi Ikan Tambak Lainnya (Ton),,,,,,,,,,,,
Kelautan_Perikanan,7) Nilai Produksi Usaha Tambak (Juta),,,,,,,,,,,,
Kelautan_Perikanan,2) Kolam Air Deras,,,,,,,,,,,,
Kelautan_Perikanan,1) Luas Areal (Ha),,,,,,,,,,,,
Kelautan_Perikanan,2) Jumlah Produksi Ikan Mas (Ton),,,,,,,,,,,,
Kelautan_Perikanan,3) Jumlah Produksi Ikan Mujair (Ton),,,,,,,,,,,,
Kelautan_Perikanan,4) Jumlah Produksi Ikan Patin (Ton),,,,,,,,,,,,
Kelautan_Perikanan,5) Jumlah Produksi Ikan Tawar Lainnya (Ton),,,,,,,,,,,,
Kelautan_Perikanan,6) Nilai Produksi Usaha Kolam Air Deras (Juta),,,,,,,,,,,,
Kelautan_Perikanan,3) Kolam Air Tenang,,,,,,,,,,,,
Kelautan_Perikanan,1) Luas Areal (Ha),,,,,,,,,,,,
Kelautan_Perikanan,2) Jumlah Produksi Ikan Sidat (Ton),,,,,,,,,,,,
Kelautan_Perikanan,3) Jumlah Produksi Ikan Nila (Ton),,,,,,,,,,,,
Kelautan_Perikanan,4) Jumlah Produksi Ikan Lele (Ton),,,,,,,,,,,,
Kelautan_Perikanan,5) Jumlah Produksi Ikan Gurami (Ton),,,,,,,,,,,,
Kelautan_Perikanan,6) Jumlah Produksi Ikan Tawar Lainnya (Ton),,,,,,,,,,,,
Kelautan_Perikanan,7) Nilai Produksi Usaha Kolam Air Tenang (Juta),,,,,,,,,,,,
Kelautan_Perikanan,4) Keramba/Siring,,,,,,,,,,,,
Kelautan_Perikanan,1) Luas Areal (Ha),,,,,,,,,,,,
Kelautan_Perikanan,2) Jumlah Karamba (Petak),,,,,,,,,,,,
Kelautan_Perikanan,3) Jumlah Produksi Ikan Karper (Ton),,,,,,,,,,,,
Kelautan_Perikanan,4) Jumlah Produksi Ikan Tawes (Ton),,,,,,,,,,,,
Kelautan_Perikanan,5) Jumlah Produksi Ikan Sepat (Ton),,,,,,,,,,,,
Kelautan_Perikanan,6) Jumlah Produksi Ikan Gabus (Ton),,,,,,,,,,,,
Kelautan_Perikanan,7) Jumlah Produksi Ikan Gurami (Ton),,,,,,,,,,,,
Kelautan_Perikanan,8) Jumlah Produksi Ikan Betok (Ton),,,,,,,,,,,,
Kelautan_Perikanan,9) Jumlah Produksi Ikan Tawar Lainnya (Ton),,,,,,,,,,,,
Kelautan_Perikanan,1) Ikan Tapah (Ton),,,,,,,,,,,,
Kelautan_Perikanan,2) Ikan Selais (Ton),,,,,,,,,,,,
Kelautan_Perikanan,10) Nilai Produksi Usaha Keramba / Siring (Juta),,,,,,,,,,,,
Kelautan_Perikanan,5) Sawah/Mina padi,,,,,,,,,,,,
Kelautan_Perikanan,1) Luas Areal (Ha),,,,,,,,,,,,
Kelautan_Perikanan,2) Jumlah Sawah (Petak),,,,,,,,,,,,
Kelautan_Perikanan,3) Jumlah Produksi Ikan Mas (Ton),,,,,,,,,,,,
Kelautan_Perikanan,4) Jumlah Produksi Ikan Nila (Ton),,,,,,,,,,,,
Kelautan_Perikanan,5) Jumlah Produksi Ikan Hias (Ton),,,,,,,,,,,,
Kelautan_Perikanan,6) Jumlah Produksi Ikan Tawar Lainnya (Ton),,,,,,,,,,,,
Kelautan_Perikanan,7) Nilai Produksi Usaha Sawah/ Mina Padi (Juta),,,,,,,,,,,,
Kelautan_Perikanan,6) Jaring Apung,,,,,,,,,,,,
Kelautan_Perikanan,1) Luas Areal (Ha),,,,,,,,,,,,
Kelautan_Perikanan,2) Jumlah Jaring Apung (Unit),,,,,,,,,,,,
Kelautan_Perikanan,3) Jumlah Produksi Ikan Kerapu Lumpur (Ton),,,,,,,,,,,,
Kelautan_Perikanan,4) Jumlah Produksi Ikan Kakap Putih (Ton),,,,,,,,,,,,
Kelautan_Perikanan,5) Jumlah Produksi Ikan Kakap Merah (Ton),,,,,,,,,,,,
Kelautan_Perikanan,6) Jumlah Produksi Ikan Tawar Lainnya (Ton),,,,,,,,,,,,
