elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Kesehatan,1) Jumlah Puskemas yang terkoneksi dengan Dinas Kesehatan,,,,,,,,,,,,
Kesehatan,2) Jumlah kebijakan PHBS di Kab/Kota,% Kabupaten dan Kota yang membuat kebijakan yang mendukung PHBS (Perilaku Hidup Bersih dan Sehat) minimal 1 kebijakan baru per tahun,,,,,,,,,,,
Kesehatan,3) Jumlah desa yang memanfaatkan dana desa minimal 10% untuk UKBM,% desa yang memanfaatkan dana desa minimal 10 persen untuk Upaya Kesehatan Bersumberdaya Masyarakat (UKBM),,,,,,,,,,,
Kesehatan,4) Jumlah ibu yang bersalin di fasilitas kesehatan,Persentase Persalinan di Fasilitas Pelayanan Kesehatan,,,,,,,,,,,
Kesehatan,"5) Jumlah ibu hamil dengan LiLA < 23,5 cm","Persentase Bumil dengan LiLA (Lingkar Lengan Atas) < 23,5 cm",,,,,,,,,,,
Kesehatan,6) Jumlah ibu hamil KEK (Kekurangan Energi Kronis) yang mendapat makanan tambahan,"Persentase ibu hamil dengan lingkar lengan atas (LILA) < 23,5cm yang mendapat makanan tambahan",,,,,,,,,,,
Kesehatan,7) Jumlah ibu hamil yang mendapat Tablet Tambah Darah (TTD),Persentase ibu hamil yang mendapat tablet tambah darah (TTD) minimal 90 tablet selama masa kehamilan,,,,,,,,,,,
Kesehatan,8) Jumlah bayi usia kurang dari 6 bulan yang mendapat ASI eksklusif,"Persentase bayi yang mencapai umur 5 bulan 29 hari yang diberi ASI saja tanpa makanan atau cairan lain kecuali obat, vitamin dan mineral berdasarkan recall 24 jam",,,,,,,,,,,
Kesehatan,9) Jumlah bayi baru lahir mendapat Inisiasi Menyusui Dini (IMD),Persentase bayi baru lahir yang menyusu dini kepada ibunya segera setelah lahir minimal selama 1 (satu) jam,,,,,,,,,,,
Kesehatan,10) Jumlah balita kurus yang mendapat makanan tambahan,Persentase baduta (6 s/d 23 bulan 29 hari) kurus (BB/TB ?-3SD s/d <-2SD) yang mendapat makanan tambahan,,,,,,,,,,,
Kesehatan,11) Jumlah remaja puteri yang mendapat Tablet Tambah Darah (TTD),Persentase remaja putri usia 12-18 tahun yang mendapat 13 butir TTD yang diberikan 1 tablet setiap minggu dan 1 tablet setiap hari selama 10 hari masa haid,,,,,,,,,,,
Kesehatan,12) Jumlah kunjungan neonatal pertama (KN1),"Cakupan pelayanan kesehatan bayi baru lahir (umur 6 jam - 48 jam) yang memperoleh pelayanan sesuai standar meliputi:-pemeriksaan menggunakan pendekatan MTBM, -perawatan tali pusat, -konseling, ASI dan tanda bahaya, -pemberian imunisasi HB 0 dan vitamin K1, jika belum diberikan saat lahir.",,,,,,,,,,,
Kesehatan,13) Jumlah Puskesmas yang melaksanakan penjaringan kesehatan untuk peserta didik kelas 1,"Puskesmas melaksanakan penjaringan kesehatan pada peserta didik kelas 1 SD/MI di wilayah kerja puskesmas tersebut minimal pemeriksaan status gizi (Tinggi Badan dan Berat Badan), pemeriksaan gigi, tajam penglihatan, dan tajam pendengaran.",,,,,,,,,,,
