elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
KKUSPM,"1) Keamanan, Ketertiban Masyarakat *",,,,,,,,,,,,
KKUSPM,1) Jumlah Kriminalitas (Kasus),,,,,,,,,,,,
KKUSPM,2) Kasus Pertikaian Antar Warga *,,,,,,,,,,,,
KKUSPM,1) Antar Etnis (Kasus),,,,,,,,,,,,
KKUSPM,2) Antar Wilayah Desa (Kasus),,,,,,,,,,,,
KKUSPM,3) Antar Agama (Kasus),,,,,,,,,,,,
KKUSPM,4) Antar Simpatisan Parpol (Kasus),,,,,,,,,,,,
KKUSPM,5) Antar Pelajar (Kasus),,,,,,,,,,,,
KKUSPM,3) Unjuk Rasa *,,,,,,,,,,,,
KKUSPM,1) Bidang Politik (Kasus),,,,,,,,,,,,
KKUSPM,2) Bidang Ekonomi (Kasus),PERMEN 54,,,,,,,,,,,
KKUSPM,3) Bidang lainnya (Kasus),PERMEN 54,,,,,,,,,,,
KKUSPM,4) Jumlah Sengketa Pengusaha dan Pekerja (Kasus),PERMEN 54,,,,,,,,,,,
KKUSPM,5) Jumlah Perselisihan Buruh dan Pengusaha Terhadap Kebijakan Ppemerintah Daerah (Kasus),PERMEN 54,,,,,,,,,,,
KKUSPM,6) Jumlah Penyelesaian Perselisihan Buruh dan Pengusaha dengan Kebijakan Pemda (Kasus),PERMEN 54,,,,,,,,,,,
KKUSPM,7) Kasus Pemogokan Kerja (Kasus),,,,,,,,,,,,
KKUSPM,8) Korban Pertikaian Antar Warga/ Unjuk Rasa *,,,,,,,,,,,,
KKUSPM,1) Korban Meninggal (Jiwa),,,,,,,,,,,,
KKUSPM,2) Korban Luka-Luka (Jiwa),,,,,,,,,,,,
KKUSPM,9) Jumlah Pengungsi Akibat Pertikaian Antar Warga/ Unjuk Rasa (Jiwa),,,,,,,,,,,,
KKUSPM,10) Kerugian Material Akibat Pertikaian Antar Warga/ Unjuk Rasa (Rp),,,,,,,,,,,,
KKUSPM,11) Aparat dan Sarana Keamanan *,,,,,,,,,,,,
KKUSPM,1) Jumlah Aparat Keamanan (Polisi) (Orang),,,,,,,,,,,,
KKUSPM,2) Jumlah Aparat Pamong Praja (Orang),PERMEN 54,,,,,,,,,,,
KKUSPM,3) Jumlah Aparat Linmas (Orang),PERMEN 54,,,,,,,,,,,
KKUSPM,4) Jumlah Pos Keamanan (Polisi) (Unit),,,,,,,,,,,,
KKUSPM,5) Jumlah Polisi Hutan (Orang),,,,,,,,,,,,
KKUSPM,6) Jumlah Mobil Pemadam Kebakaran (Unit),PERMEN 54,,,,,,,,,,,
KKUSPM,7) Jumlah Pos Pemadam Kebakaran (Unit),,,,,,,,,,,,
KKUSPM,8) Jumlah Pos Siskamling (Unit),PERMEN 54,,,,,,,,,,,
KKUSPM,9) 9). Jumlah Patroli Petugas Satpol PP Pemantauan dan Penyelesaian Pelanggaran K3 Dalam 24 J,PERMEN 54,,,,,,,,,,,
KKUSPM,10) 10). Jumlah Petugas Perlindungan Masyarakat (Orang),PERMEN 54,,,,,,,,,,,
KKUSPM,"12) 12. Jumlah Pelanggaran K3 (ketertiban, ketentraman, keindahan) (kasus)",PERMEN 54,,,,,,,,,,,
