elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
KUKM,1) Pengembangan Koperasi dan UKM*(),,,,,,,,,,,,
KUKM,1) Koperasi *(),"Koperasi adalah badan hukum yang didirikan oleh orang perseorangan atau badan hukum Koperasi, dengan pemisahan kekayaan para anggotanya sebagai modal untuk menjalankan usaha, yang memenuhi aspirasi dan kebutuhan bersama di bidang ekonomi, sosial, dan budaya sesuai dengan nilai dan prinsip Koperasi.(UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 17 TAHUN 2012 TENTANG PERKOPERASIAN)",,,,,,,,,,,
KUKM,1) Jumlah Koperasi Aktif (Buah),PERMEN 54,,,,,,,,,,,
KUKM,2) Jumlah Koperasi Tidak Aktif (Buah),PERMEN 54,,,,,,,,,,,
KUKM,3) Jumlah Induk Koperasi (Buah),,,,,,,,,,,,
KUKM,4) Jumlah Koperasi Primer (Buah),Koperasi Primer adalah Koperasi yang didirikan oleh dan beranggotakan orang perseorangan. (UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 17 TAHUN 2012 TENTANG PERKOPERASIAN),,,,,,,,,,,
KUKM,5) Jumlah KUD (Buah),"Koperasi Unit Desa adalah suatu Koperasi serba usaha yang beranggotakan penduduk desa dan berlokasi didaerah pedesaan, daerah kerjanya biasanya mencangkup satu wilayah kecamatan",,,,,,,,,,,
KUKM,6) Jumlah Non KUD (Buah),,,,,,,,,,,,
KUKM,2) Jumlah Pengusaha KUKM *(),,,,,,,,,,,,
KUKM,1) Pengusaha Mikro(Orang),,,,,,,,,,,,
KUKM,2) Pengusaha Kecil(Orang),,,,,,,,,,,,
KUKM,3) Pengusaha Menengah(Orang),,,,,,,,,,,,
KUKM,3) Badan Hukum Koperasi(),,,,,,,,,,,,
KUKM,1) Pengesahan Akta Pendirian Koperasi(Buah),,,,,,,,,,,,
KUKM,2) Perubahan Dasar Anggaran Koperasi(Buah),,,,,,,,,,,,
KUKM,3) Pembubaran Koperasi (Unit),,,,,,,,,,,,
KUKM,4) Izin Usaha Koperasi Simpan Pinjam(),,,,,,,,,,,,
KUKM,1) Penerbitan Izin Usaha Simpan Pinjam(Buah),,,,,,,,,,,,
KUKM,2) Penerbitan Izin Pembukaan Kantor Cabang (Buah),,,,,,,,,,,,
KUKM,3) Penerbitan Izin Pembukaan Kantor Cabang Pembantu(Buah),,,,,,,,,,,,
KUKM,4) Penerbitan Izin Pembukaan Kantor Kas Koperasi Simpan Pinjam(Buah),,,,,,,,,,,,
KUKM,5) Pengawasan dan Pemeriksaan(),,,,,,,,,,,,
KUKM,1) Pengawasan KUKM(Dokumen),,,,,,,,,,,,
KUKM,2) Pemeriksaan KUKM(Dokumen),,,,,,,,,,,,
KUKM,3) Penilaian Kesehatan KSP/USP Koperasi(Dokumen),,,,,,,,,,,,
KUKM,6) Pemberdayaan Koperasi(),,,,,,,,,,,,
KUKM,1) Pemberdayaan Koperasi(Unit),,,,,,,,,,,,
KUKM,2) Perlindungan Koperasi(Dokumen),,,,,,,,,,,,
KUKM,3) Pendataan Koperasi(Unit),,,,,,,,,,,,
KUKM,4) Kemitraan Koperasi(Unit),,,,,,,,,,,,
KUKM,5) Kemudahan Perizinan Koperasi(Dokumen),,,,,,,,,,,,
KUKM,7) Pengembangan UMKM(),,,,,,,,,,,,
KUKM,1) Skala Usaha Mikro(Dokumen),,,,,,,,,,,,
KUKM,2) Skala Usaha Kecil(),,,,,,,,,,,,
KUKM,3) Skala Usaha Menengah(Dokumen),,,,,,,,,,,,
KUKM,2) Input Output UKM *(),,,,,,,,,,,,
KUKM,1) Input Bahan **(Rp Juta),,,,,,,,,,,,
KUKM,1) Total Input Domestik Selain Lokal (Rp Juta),,,,,,,,,,,,
KUKM,2) Total Input Lokal (Rp Juta),,,,,,,,,,,,
KUKM,2) Total Output (Rp Juta),,,,,,,,,,,,
KUKM,3) Nilai Tambah *(),,,,,,,,,,,,
KUKM,1) Total Nilai Tambah (Rp Juta),,,,,,,,,,,,
KUKM,2) Total Tenaga Kerja (Rp Juta),,,,,,,,,,,,
KUKM,3) Total Subsidi (Rp Juta),,,,,,,,,,,,
KUKM,4) Total Pajak Tak Langsung (Rp Juta),,,,,,,,,,,,
KUKM,4) Nilai Tambah Produktivitas KUKM Sektor *(),,,,,,,,,,,,
KUKM,1) Sektor Usaha Mikro(Rp Juta),,,,,,,,,,,,
KUKM,2) Sektor Usaha Kecil(Rp Juta),,,,,,,,,,,,
KUKM,3) Sektor Usaha Menengah(Rp Juta),,,,,,,,,,,,
KUKM,4) Sektor Jasa-jasa (Rp Juta),,,,,,,,,,,,
KUKM,3) Jumlah UKM non BPR/LKM UKM **(Unit),PERMEN 54,,,,,,,,,,,
KUKM,1) Jumlah seluruh UKM (Unit),PERMEN 54,,,,,,,,,,,
KUKM,2) Jumlah BPR/LKM (Unit),PERMEN 54,,,,,,,,,,,
KUKM,3) Jumlah UKM non BPR/LKM (Unit),,,,,,,,,,,,
