elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Lingkungan_Hidup,1) Lingkungan Hidup *,,,,,,,,,,,,
Lingkungan_Hidup,1) Jumlah Kawasan Lindung *,,,,,,,,,,,,
Lingkungan_Hidup,1) Taman Nasional (Buah),,,,,,,,,,,,
Lingkungan_Hidup,2) Cagar Alam (Buah),,,,,,,,,,,,
Lingkungan_Hidup,3) Hutan Suaka Alam (Buah),,,,,,,,,,,,
Lingkungan_Hidup,4) Hutan Lindung (Buah),,,,,,,,,,,,
Lingkungan_Hidup,5) Cagar Budaya (Buah),,,,,,,,,,,,
Lingkungan_Hidup,6) Taman Hutan Raya (Buah),,,,,,,,,,,,
Lingkungan_Hidup,7) Kebun Raya (Buah),,,,,,,,,,,,
Lingkungan_Hidup,8) Taman Kehati(Buah),,,,,,,,,,,,
Lingkungan_Hidup,2) Pencemaran *(Buah),,,,,,,,,,,,
Lingkungan_Hidup,1) Tanah (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Air (Ha),,,,,,,,,,,,
Lingkungan_Hidup,3) Udara (Ha),,,,,,,,,,,,
Lingkungan_Hidup,4) Laut (Ha),,,,,,,,,,,,
Lingkungan_Hidup,3) Plasma Nutfah dilindungi *,,,,,,,,,,,,
Lingkungan_Hidup,1) Hewan (Jenis),,,,,,,,,,,,
Lingkungan_Hidup,2) Tumbuhan (Jenis),,,,,,,,,,,,
Lingkungan_Hidup,4) Plasma Nutfah Terancam Punah *,,,,,,,,,,,,
Lingkungan_Hidup,4) Hewan (Jenis),,,,,,,,,,,,
Lingkungan_Hidup,2) Tumbuhan (Jenis),,,,,,,,,,,,
Lingkungan_Hidup,5) Plasma Nutfah Endemik *,,,,,,,,,,,,
Lingkungan_Hidup,1) Hewan (Jenis),,,,,,,,,,,,
Lingkungan_Hidup,2) Tumbuhan (Jenis),,,,,,,,,,,,
Lingkungan_Hidup,6) Terumbu Karang *,,,,,,,,,,,,
Lingkungan_Hidup,1) Luas Terumbu Karang (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Kondisi Terumbu Karang *,,,,,,,,,,,,
Lingkungan_Hidup,1) Baik Sekali (75-100%) (Ha),,,,,,,,,,,,
Lingkungan_Hidup,"2) Baik (50-74,9%) (Ha)",,,,,,,,,,,,
Lingkungan_Hidup,"3) Sedang (25-49,5%) (Ha)",,,,,,,,,,,,
Lingkungan_Hidup,"4) Buruk (0-24,9%) (Ha)",,,,,,,,,,,,
Lingkungan_Hidup,7) Hutan Bakau *,,,,,,,,,,,,
Lingkungan_Hidup,1) Luas Hutan Bakau (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Kondisi Hutan Bakau *,,,,,,,,,,,,
Lingkungan_Hidup,1) Baik (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Sedang (Ha),,,,,,,,,,,,
Lingkungan_Hidup,3) Rusak (Ha),,,,,,,,,,,,
Lingkungan_Hidup,8) Hutan Padang Lamun *,,,,,,,,,,,,
Lingkungan_Hidup,1) Luas Hutan Padang Lamun (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Kondisi Hutan Padang Lamun *(Ha),,,,,,,,,,,,
Lingkungan_Hidup,1) Baik (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Sedang (Ha),,,,,,,,,,,,
Lingkungan_Hidup,3) Rusak (Ha),,,,,,,,,,,,
Lingkungan_Hidup,9) Rencana Perlindungan dan Pengelolaan Lingkungan Hidup (RPPLH) *(Nomor Perda),,,,,,,,,,,,
Lingkungan_Hidup,10) Kajian Lingkungan Hidup Strategis,,,,,,,,,,,,
Lingkungan_Hidup,1) RTRW(SK Nomor),,,,,,,,,,,,
Lingkungan_Hidup,2) RPJPD(SK Nomor),,,,,,,,,,,,
Lingkungan_Hidup,3) RPJMD(SK Nomor),,,,,,,,,,,,
Lingkungan_Hidup,11) Jumlah izin lingkungan yang diterbitkan(Buah),,,,,,,,,,,,
Lingkungan_Hidup,12) Jumlah izin lingkungan yang diterbitkan(Dokumen),,,,,,,,,,,,
Lingkungan_Hidup,13) Jumlah penetapan Masyarakat Hukum Adat(Buah),,,,,,,,,,,,
Lingkungan_Hidup,14) Jumlah penetapan Masyarakat Hukum Adat(Kelompok),,,,,,,,,,,,
Lingkungan_Hidup,"15) Jumlah penyelenggaraan pendidikan, latihan dan penyuluhan lingkungan hidup(Buah)",,,,,,,,,,,,
Lingkungan_Hidup,"16) Jumlah penyelenggaraan pendidikan, latihan dan penyuluhan lingkungan hidup(Kali/Lokasi)",,,,,,,,,,,,
Lingkungan_Hidup,17) Jumlah TPA/TPST Regional (Buah),,,,,,,,,,,,
Lingkungan_Hidup,18) Jumlah Pembinaan dan Pengawasan Limbah Domestik di TPA/TPST Regional (kali),,,,,,,,,,,,
Lingkungan_Hidup,19) Jumlah izin pengelolaan sampah(Buah),,,,,,,,,,,,
Lingkungan_Hidup,20) Jumlah Timbulan Sampah(Buah),,,,,,,,,,,,
Lingkungan_Hidup,2) Kerusakan Lingkungan Hidup *,,,,,,,,,,,,
Lingkungan_Hidup,1) Intrusi Air Laut (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Abrasi Pantai (Ha),,,,,,,,,,,,
Lingkungan_Hidup,3) Reklamasi Batu Bara (Ha),,,,,,,,,,,,
Lingkungan_Hidup,4) Erosi (Ha),,,,,,,,,,,,
Lingkungan_Hidup,5) Banjir (Ha),,,,,,,,,,,,
Lingkungan_Hidup,6) Gempa Bumi (Ha),,,,,,,,,,,,
Lingkungan_Hidup,7) Tsunami (Ha),,,,,,,,,,,,
Lingkungan_Hidup,8) Badai (Ha),,,,,,,,,,,,
Lingkungan_Hidup,9) Kawasan Hutan **(Ha),,,,,,,,,,,,
Lingkungan_Hidup,1) Kebakaran Hutan (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Deforestasi (Penggundulan Hutan) (Ha),,,,,,,,,,,,
Lingkungan_Hidup,10) Area Penambangan Liar (Ha),,,,,,,,,,,,
Lingkungan_Hidup,11) Kekeringan (Ha),,,,,,,,,,,,
Lingkungan_Hidup,12) Lainnya (Ha),,,,,,,,,,,,
Lingkungan_Hidup,3) Pelestarian Lingkungan Hidup *,,,,,,,,,,,,
Lingkungan_Hidup,1) Peremajaan Terumbu Karang (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Penanaman Hutan Bakau (Ha),,,,,,,,,,,,
Lingkungan_Hidup,3) Reboisasi (Ha),,,,,,,,,,,,
Lingkungan_Hidup,4) Penghijauan **(Ha),,,,,,,,,,,,
Lingkungan_Hidup,1) Jumlah Penghijauan Wilayah Rawan Longsor dan Sumber Mata Air (Ha),,,,,,,,,,,,
Lingkungan_Hidup,2) Jumlah Kasus Lingkungan Yang Diselesaikan Pemda (Kasus),,,,,,,,,,,,
Lingkungan_Hidup,3) Jumlah Kasus Lingkungan Yang Ada (Kasus),,,,,,,,,,,,
Lingkungan_Hidup,5) Rehabilitasi Hutan dan Lahan Kritis (Ha),,,,,,,,,,,,
Lingkungan_Hidup,6) Penambangan Liar Yang Ditertibkan (Ha),,,,,,,,,,,,
Lingkungan_Hidup,4) Perubahan Iklim *,,,,,,,,,,,,
Lingkungan_Hidup,1) Rencana Aksi Daerah Penurunan Emisi GRK (Pergub nomor),,,,,,,,,,,,
Lingkungan_Hidup,2) Rencana Aksi Daerah Adaptasi Perubahan Iklim,,,,,,,,,,,,
Lingkungan_Hidup,3) Target Penurunan Emisi GRK sampai dengan tahun 2020(Prosentase %),,,,,,,,,,,,
Lingkungan_Hidup,4) Target Penurunan Emisi GRK sampai dengan tahun 2020(%),,,,,,,,,,,,
Lingkungan_Hidup,5) Target Penurunan Emisi GRK per tahun(Prosentase %),,,,,,,,,,,,
Lingkungan_Hidup,6) Target Penurunan Emisi GRK per tahun(%),,,,,,,,,,,,
Lingkungan_Hidup,5) Sarana pengendalian Lingkungan Hidup *,,,,,,,,,,,,
Lingkungan_Hidup,1) Laboratorium penelitian lingkungan (Unit),,,,,,,,,,,,
Lingkungan_Hidup,2) Pengumpul limbah B3(Unit),,,,,,,,,,,,
Lingkungan_Hidup,3) Penyimpanan sementara limbah B3(Unit),,,,,,,,,,,,
Lingkungan_Hidup,4) Pusat Evakuasi Bencana (Unit),,,,,,,,,,,,
Lingkungan_Hidup,5) Sarana monitoring polusi udara (Unit),,,,,,,,,,,,
