elemen,indikator,defenisi,nilai
Masyarakat_Desa,1) Jumlah Desa (Desa),"(PERMEN 54) desa, adalah kesatuan masyarakat hukum yang memiliki batas batas wilayah yang berwenang untuk mengatur dan mengurus kepentingan masyarakat setempat, berdasarkan asal-usul dan adat istiadat setempat yang diakui dan dihormati dalam sistem Pemerintahan Negara Kesatuan Republik Indonesia.(PERATURAN PRESIDEN REPUBLIK INDONESIA NOMOR 98 TAHUN 2014 TENTANG PERIZINAN UNTUKUSAHA MIKRO DAN KECIL )",97.7
Masyarakat_Desa,2) Klasifikasi Desa **(Desa),,53.7
Masyarakat_Desa,1) Desa Swadaya (Desa),(PERMEN 54) Desa swadaya adalah desa yang memiliki potensi tertentu tetapi dikelola dengan sebaik-baiknya. (Undang-Undang Nomor 6 Tahun 2014 tentang Desa),82.2
Masyarakat_Desa,2) Desa Swakarya (Desa),Desa swakarya adalah peralihan atau transisi dari desa swadaya menuju desa swasembada. (Undang-Undang Nomor 6 Tahun 2014 tentang Desa),17.8
Masyarakat_Desa,3) Desa Swasembada (Desa),Desa swasembada adalah desa yang masyarakatnya telah mampu memanfaatkan dan mengembangkan sumber daya alam dan potensinya sesuai dengan kegiatan pembangunan regional. (Undang-Undang Nomor 6 Tahun 2014 tentang Desa),86.6
Masyarakat_Desa,4) Desa Pesisir (Desa),,85
Masyarakat_Desa,5) Desa Perhutanan (Desa),,90.9
Masyarakat_Desa,6) Perindustrian/Jasa (Desa),perindustrian adalah tatanan dan segala kegiatan yang bertalian dengan kegiatan industri (UU RI No 3 Tahun 2004 tentang Perindustrian),23.5
Masyarakat_Desa,7) Desa Perkebunan (Desa),,13.9
Masyarakat_Desa,8) Desa Perladangan (Desa),,36.8
Masyarakat_Desa,9) Desa Persawahan (Desa),,14
Masyarakat_Desa,10) Desa Pertambangan (Desa),,38.2
Masyarakat_Desa,11) Desa Peternakan (Desa),,23.8
Masyarakat_Desa,12) Desa Wisata (Desa),"Suatu kawasan pedesaan yang menawarkan keseluruhan suasana yang mencerminkan keaslian pedesaan baik dari kehidupan sosial ekonomi, sosial budaya, adat istiadat, keseharian, memiliki arsitektur bangunan dan struktur tata ruang desa yang khas, atau kegiatan perekonomian yang unik dan menarik serta mempunyai potensi untuk dikembangkannya berbagai komponen kepariwisataan, (Undang-Undang Otonomi Daerah (UU. No. 22/99))",26.2
Masyarakat_Desa,13) Desa Adat (Desa),Desa adat adalah sebuah kesatuan hukum adat yang secara historis mempunyai batas wilayah dan identitas budaya yang terbentuk atas dasar teritorial yang berwenang mengatur dan mengurus kepentingan masyarakat desa berdasarkan hak asal usul. (Undang Undang No 6 Tahun 2014 tentang Desa),29.2
Masyarakat_Desa,14) Desa Eks Trans (Desa),,48.8
Masyarakat_Desa,3) Jumlah RW (RW),"Rukun Warga, untuk selanjutnya disingkat RW atau sebutan lainnya adalah bagian dari kerja lurah dan merupakan lembaga yang dibentuk melalui musyawarah pengurus RT di wilayah kerjanya yang ditetapkan oleh Pemerintah Desa atau Lurah. (PERATURAN MENTERI DALAM NEGERI NOMOR 5 TAHUN 2007 TENTANG PEDOMAN PENATAAN LEMBAGA KEMASYARAKATAN)",23.1
Masyarakat_Desa,4) Jumlah RT (RT),"Rukun Tetangga, untuk selanjutnya disingkat RT atau sebutan lainnya adalah lembaga yang dibentuk melalui musyawarah masyarakat setempat dalam rangka pelayanan pemerintahan dan kemasyarakatan yang ditetapkan oleh Pemerintah Desa atau Lurah. (PERATURAN MENTERI DALAM NEGERI NOMOR 5 TAHUN 2007 TENTANG PEDOMAN PENATAAN LEMBAGA KEMASYARAKATAN)",47.1
Masyarakat_Desa,5) Jumlah Dusun (Dusun),dusun adalah bagian wilayah dalam des yang merupakan lingkungan kerja pelaksanaan pemerintahan desa (Undang Undang no 5 tahun 1979 tentang pemerintahan desa),37.7
Masyarakat_Desa,6) Kantor Pemerintah Desa (Unit),Pemerintah Daerah adalah kepala daerah sebagai unsur penyelenggara Pemerintahan Daerah yang memimpin pelaksanaan urusan pemerintahan yang menjadi kewenangan daerah otonom. (UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 23 TAHUN 2014 TENTANG PEMERINTAHAN DAERAH),42.9
Masyarakat_Desa,1) Jumlah Aparat Pemerintah Desa Berdasarkan Tingkat Pendidikan **(Orang),[sudah jelas],28.9
Masyarakat_Desa,1) Tidak Sekolah/Belum Tamat SD (Orang),[sudah jelas],66.1
Masyarakat_Desa,2) Tamat SD atau Sederajat (Orang),[sudah jelas],49.8
Masyarakat_Desa,3) SMP dan Sederajat (Orang),[sudah jelas],98.5
Masyarakat_Desa,4) SMA dan Sederajat (Orang),[sudah jelas],34.6
Masyarakat_Desa,"5) Akademi (DI, DII dan DIII) (Orang)",[sudah jelas],53.8
Masyarakat_Desa,6) Sarjana (S1) (Orang),[sudah jelas],84.8
