elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Pangan,1) Jenis Prasarana Irigasi/Pengairan *,,,,,,,,,,,,
Pangan,1) Luas Sawah Non Irigasi (M2),,,,,,,,,,,,
Pangan,2) Pertanian *,,,,,,,,,,,,
Pangan,1) Padi Sawah *,,,,,,,,,,,,
Pangan,1) Luas Tanam (Ha),,,,,,,,,,,,
Pangan,2) Luas Panen (Ha),,,,,,,,,,,,
Pangan,3) Produksi Gabah (Ton),,,,,,,,,,,,
Pangan,4) Produksi Beras (Ton),,,,,,,,,,,,
Pangan,5) Produktivitas (Kw/Ha),,,,,,,,,,,,
Pangan,6) Jumlah Konsumsi Beras (Ton),,,,,,,,,,,,
Pangan,2) Padi Ladang *,,,,,,,,,,,,
Pangan,1) Luas Tanam (Ha),,,,,,,,,,,,
Pangan,2) Luas Panen (Ha),,,,,,,,,,,,
Pangan,3) Produksi Gabah (Ton),,,,,,,,,,,,
Pangan,4) Produksi Beras (Ton),,,,,,,,,,,,
Pangan,5) Produktivitas (Kw/Ha),,,,,,,,,,,,
Pangan,6) Jumlah Konsumsi Beras (Ton),,,,,,,,,,,,
Pangan,3) Jagung *,,,,,,,,,,,,
Pangan,1) Luas Tanam (Ha),,,,,,,,,,,,
Pangan,2) Luas Panen (Ha),,,,,,,,,,,,
Pangan,3) Produksi (Ton),,,,,,,,,,,,
Pangan,4) Produktivitas (Kw/Ha),,,,,,,,,,,,
Pangan,5) Jumlah Konsumsi (Ton),,,,,,,,,,,,
Pangan,4) Kacang Kedelai *,,,,,,,,,,,,
Pangan,1) Luas Tanam (Ha),,,,,,,,,,,,
Pangan,2) Luas Panen (Ha),,,,,,,,,,,,
Pangan,3) Produksi (Ton),,,,,,,,,,,,
Pangan,4) Produktivitas (Kw/Ha),,,,,,,,,,,,
Pangan,5) Jumlah Konsumsi (Ton),,,,,,,,,,,,
Pangan,5) Kacang Hijau *,,,,,,,,,,,,
Pangan,1) Luas Tanam (Ha),,,,,,,,,,,,
Pangan,2) Luas Panen (Ha),,,,,,,,,,,,
Pangan,3) Produksi (Ton),,,,,,,,,,,,
Pangan,4) Produktivitas (Kw/Ha),,,,,,,,,,,,
Pangan,5) Jumlah Konsumsi (Ton),,,,,,,,,,,,
Pangan,6) Kacang Tanah *,,,,,,,,,,,,
Pangan,1) Luas Tanam (Ha),,,,,,,,,,,,
Pangan,2) Luas Panen (Ha),,,,,,,,,,,,
Pangan,3) Produksi (Ton),,,,,,,,,,,,
Pangan,4) Produktivitas (Kw/Ha),,,,,,,,,,,,
Pangan,5) Jumlah Konsumsi (Ton),,,,,,,,,,,,
Pangan,7) Ubi Kayu *,,,,,,,,,,,,
Pangan,1) Luas Tanam (Ha),,,,,,,,,,,,
Pangan,2) Luas Panen (Ha),,,,,,,,,,,,
Pangan,3) Produksi (Ton),,,,,,,,,,,,
Pangan,4) Produktivitas (Kw/Ha),,,,,,,,,,,,
Pangan,5) Jumlah Konsumsi (Ton),,,,,,,,,,,,
Pangan,8) Ubi Jalar *,,,,,,,,,,,,
Pangan,1) Luas Tanam (Ha),,,,,,,,,,,,
Pangan,2) Luas Panen (Ha),,,,,,,,,,,,
Pangan,3) Produksi (Ton),,,,,,,,,,,,
Pangan,4) Produktivitas (Kw/Ha),,,,,,,,,,,,
Pangan,5) Jumlah Konsumsi (Ton),,,,,,,,,,,,
Pangan,9) Luas Lahan Pertanian **(Ha),,,,,,,,,,,,
Pangan,1) Lahan Basah (Ha),PERMEN 54,,,,,,,,,,,
Pangan,2) Lahan Kering (Ha),PERMEN 54,,,,,,,,,,,
Pangan,3) Lahan Dataran Tinggi (Ha),PERMEN 54,,,,,,,,,,,
Pangan,10) Jenis Irigasi Sawah *,,,,,,,,,,,,
Pangan,1) Teknis (Ha),,,,,,,,,,,,
Pangan,2) Setengah Teknis (Ha),,,,,,,,,,,,
Pangan,3) Sederhana (Ha),,,,,,,,,,,,
Pangan,4) Pengairan Desa / Non PU (Ha),,,,,,,,,,,,
Pangan,5) Tadah Hujan (Ha),,,,,,,,,,,,
Pangan,6) Lebak/Polder dan lainnya (Ha),,,,,,,,,,,,
Pangan,11) Industri Pengolahan Hasil Pertanian *,,,,,,,,,,,,
Pangan,1) Jumlah Perusahaan (Unit),PERMEN 54,,,,,,,,,,,
Pangan,2) Omset Produksi (Juta),,,,,,,,,,,,
Pangan,3) Regulasi Pangan (Dokumen),"Regulasi Pangan adalah Kebijakan terkait Ketahanan Pangan, Kemandirian Pangan dan Kedaulatan Pangan (UU no.18 tahun 2012 tentang Pangan)",,,,,,,,,,,
Pangan,4) Keamanan Pangan (%),Pengawasan Keamanan Pangan segar (Sayur dan Buah),,,,,,,,,,,
Pangan,1) Jumlah Sertifikasi Buah dan Sayur,Buah dan Sayur yang disertifikasi dan diawasi,,,,,,,,,,,
