elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Pariwisata,1) Pariwisata *,"Pariwisata adalah berbagai macam kegiatan wisata dan didukung berbagai fasilitas serta layanan yang disediakan oleh masyarakat, pengusaha, Pemerintah, dan Pemerintah Daerah . (UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 10 TAHUN 2009 TENTANG KEPARIWISATAAN )",,,,,,,,,,,
Pariwisata,1) Jumlah Obyek Wisata *,[sudah jelas],,,,,,,,,,,
Pariwisata,1) Alam (Buah),[sudah jelas],,,,,,,,,,,
Pariwisata,2) Buatan (Buah),[sudah jelas],,,,,,,,,,,
Pariwisata,2) Jumlah Hotel *,[sudah jelas],,,,,,,,,,,
Pariwisata,1) Hotel Bintang Lima (Buah),PERMEN 54 [sudah jelas],,,,,,,,,,,
Pariwisata,2) Hotel Bintang Empat (Buah),PERMEN 54 [sudah jelas],,,,,,,,,,,
Pariwisata,3) Hotel Bintang Tiga (Buah),PERMEN 54 [sudah jelas],,,,,,,,,,,
Pariwisata,4) Hotel Bintang Dua (Buah),PERMEN 54 [sudah jelas],,,,,,,,,,,
Pariwisata,5) Hotel Bintang Satu (Buah),PERMEN 54 [sudah jelas],,,,,,,,,,,
Pariwisata,6) Hotel Non Bintang (Buah),PERMEN 54 [sudah jelas],,,,,,,,,,,
Pariwisata,3) Jenis Objek Wisata *,[sudah jelas],,,,,,,,,,,
Pariwisata,1) Wisata Marina *,[sudah jelas],,,,,,,,,,,
Pariwisata,1) Total Objek Wisata (Buah),[sudah jelas],,,,,,,,,,,
Pariwisata,2) Total Wisatawan Domestik (Jiwa),[sudah jelas],,,,,,,,,,,
Pariwisata,3) Total Wisatawan Mancanegara (Jiwa),[sudah jelas],,,,,,,,,,,
Pariwisata,2) Wisata Tirta *,[sudah jelas],,,,,,,,,,,
Pariwisata,1) Total Objek Wisata (Buah),[sudah jelas],,,,,,,,,,,
Pariwisata,2) Total Wisatawan Domestik (Jiwa),[sudah jelas],,,,,,,,,,,
Pariwisata,3) Total Wisatawan Mancanegara (Jiwa),[sudah jelas],,,,,,,,,,,
Pariwisata,3) Wisata Sejarah *,[sudah jelas],,,,,,,,,,,
Pariwisata,1) Total Objek Wisata (Buah),[sudah jelas],,,,,,,,,,,
Pariwisata,2) Total Wisatawan Domestik (Jiwa),[sudah jelas],,,,,,,,,,,
Pariwisata,3) Total Wisatawan Mancanegara (Jiwa),[sudah jelas],,,,,,,,,,,
Pariwisata,4) Suaka Alam *,[sudah jelas],,,,,,,,,,,
Pariwisata,1) Total Objek Wisata (Buah),[sudah jelas],,,,,,,,,,,
Pariwisata,2) Total Wisatawan Domestik (Jiwa),[sudah jelas],,,,,,,,,,,
Pariwisata,3) Total Wisatawan Mancanegara (Jiwa),[sudah jelas],,,,,,,,,,,
Pariwisata,5) Capaian Kinerja Kunjungan Wisatawan (%),,,,,,,,,,,,
Pariwisata,6) Persentase Penduduk yg Melakukan Perjalanan Wisata (%),,,,,,,,,,,,
Pariwisata,4) Jumlah Wisatawan *,Wisatawan adalah orang yang melakukan wisata. (UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 10 TAHUN 2009 TENTANG KEPARIWISATAAN ),,,,,,,,,,,
Pariwisata,1) Asing (Mancanegara) (Jiwa),PERMEN 54,,,,,,,,,,,
Pariwisata,2) Domestik (Nasional) (Jiwa),PERMEN 54,,,,,,,,,,,
Pariwisata,3) Capaian Kinerja Kunjungan Wisatawan (Orang),PERMEN 54,,,,,,,,,,,
Pariwisata,5) Jumlah dan Tingkat Hunian Kamar Penginapan Hotel *,,,,,,,,,,,,
Pariwisata,1) Jumlah Kamar Penginapan Hotel/Penginapan (Unit),,,,,,,,,,,,
Pariwisata,2) Jumlah Rata-rata Penggunaan Kamar Hotel/Penginapan (Hari),,,,,,,,,,,,
Pariwisata,3) Jumlah Kamar Hotel/Penginapan yang Terisi (Unit),,,,,,,,,,,,
Pariwisata,4) Jumlah dan Tingkat Hunian Kamar Penginapan Hotel (Buah),,,,,,,,,,,,
Pariwisata,6) Tempat Hiburan/Rekreasi *,,,,,,,,,,,,
Pariwisata,1) Gedung Bioskop (Unit),,,,,,,,,,,,
Pariwisata,2) Lainnya (Unit),,,,,,,,,,,,
Pariwisata,7) Jumlah even pariwisata,,,,,,,,,,,,
Pariwisata,2) PDRB Subsektor Pariwisata(Rp Juta),PERMEN 54,,,,,,,,,,,
Pariwisata,3) Jasa Hiburan dan Rekreasi(Rp Juta),PERMEN 54,,,,,,,,,,,
Pariwisata,4) Hotel(Rp Juta),PERMEN 54,,,,,,,,,,,
Pariwisata,5) PDRB Subsektor Pariwisata(Rp Juta),PERMEN 54,,,,,,,,,,,
Pariwisata,6) Restoran(Rp Juta),PERMEN 54,,,,,,,,,,,
Pariwisata,"7) Perdagangan, Hotel dan Restoran(Rp Juta)",PERMEN 54,,,,,,,,,,,
