elemen,indikator,defenisi,nilai
Pemuda_Olah_Raga,"1) Jumlah pemuda kader, pemuda pelopor dan pemuda wirausaha",,66.2
Pemuda_Olah_Raga,1) Pemuda Kader,,47
Pemuda_Olah_Raga,1) Paskibraka(Orang),,39.2
Pemuda_Olah_Raga,2) Kepemimpinan Pemuda(Orang),,86
Pemuda_Olah_Raga,3) Moral etika pemuda(Orang),,84.8
Pemuda_Olah_Raga,4) Kepramukaan(Orang),,10.9
Pemuda_Olah_Raga,5) Pola Kemitraan(Orang),,7.4
Pemuda_Olah_Raga,6) Jambore Pemuda(Orang),,73.1
Pemuda_Olah_Raga,7) Mutu Organisasi(Orang),,67.7
Pemuda_Olah_Raga,8) Lomba kreativitas Pemuda(Orang),,87.4
Pemuda_Olah_Raga,9) Temu Koordinasi lembaga Kemahasiswaan(Orang),,21.2
Pemuda_Olah_Raga,10) Pelatihan IT(Orang),,1.4
Pemuda_Olah_Raga,11) Pemuda Bahari(Orang),,70.8
Pemuda_Olah_Raga,12) Tanasda(Orang),,27.2
Pemuda_Olah_Raga,13) Pemuda Kreatif yang prestasinya diakui daerah(Orang),,3.1
Pemuda_Olah_Raga,14) Pemuda yang hasil karya kreatifnya diakui daerah(Orang),,11.9
Pemuda_Olah_Raga,2) Pemuda Pelopor,,100
Pemuda_Olah_Raga,1) Pemuda Sarjana Penggerak Pembangunan Perdesaan (PSP3)(Orang),,91.7
Pemuda_Olah_Raga,2) Kesukarelawanan(Orang),,73.8
Pemuda_Olah_Raga,3) PPAN/KPN(Orang),,40.9
Pemuda_Olah_Raga,4) PKBM(Orang),,83.6
Pemuda_Olah_Raga,3) PemudaWirausaha Muda,,53.2
Pemuda_Olah_Raga,1) Usaha Mikro dan Menengah Pemuda(Orang),,78
Pemuda_Olah_Raga,2) Pelatihan Kewirausahaan Pemuda(Orang),,70.5
Pemuda_Olah_Raga,3) Wirausaha Muda Pemula Prestasi(Orang),,90.4
Pemuda_Olah_Raga,4) Pengembangan Pemuda Bidang Kewirausahaan(Orang),,3
Pemuda_Olah_Raga,5) Bantuan KUPP(Orang),,15.2
Pemuda_Olah_Raga,6) Pelaku Industri Olahraga(Orang),,5.7
Pemuda_Olah_Raga,"2) Jumlah organisasi kepemudaan, kepramukaan dan olahraga",PERMEN 54,91.3
Pemuda_Olah_Raga,1) Organisasi Kepemudaan,PERMEN 54,68.3
Pemuda_Olah_Raga,1) KNPI (Lembaga),,71.4
Pemuda_Olah_Raga,2) OKP binaan KNPI(Lembaga),,84.1
Pemuda_Olah_Raga,3) Forum Pemuda Binaan Dispora (Lembaga),,38.1
Pemuda_Olah_Raga,4) BEM(Lembaga),,55
Pemuda_Olah_Raga,5) Unit kegiatan siswa(Lembaga),,68
Pemuda_Olah_Raga,6) Unit kegiatan mahasiswa(Lembaga),,77.7
Pemuda_Olah_Raga,7) Komunitas Pemuda Non Organisasi Kepemudaan(Lembaga),,57.6
Pemuda_Olah_Raga,2) Organisasi olahraga,PERMEN 54,41.6
Pemuda_Olah_Raga,1) KONI(Lembaga),,25
Pemuda_Olah_Raga,2) Pengprov Induk organisasi Cabor(Lembaga),,11
Pemuda_Olah_Raga,3) Club(Lembaga),,44.9
Pemuda_Olah_Raga,4) Komunitas olahraga(Lembaga),,41.3
Pemuda_Olah_Raga,5) FORMI(Lembaga),,25.4
Pemuda_Olah_Raga,6) BAPOMI(Lembaga),,39.9
Pemuda_Olah_Raga,7) BAPOPSI(Lembaga),,24.2
Pemuda_Olah_Raga,8) Akademi/SSB (Sekolah sepakbola)(Lembaga),,1.6
Pemuda_Olah_Raga,9) BAPOR Korpri(Lembaga),,34
Pemuda_Olah_Raga,3) Organisasi Kepramukaan,,2
Pemuda_Olah_Raga,1) KWARDA(Lembaga),,57.1
Pemuda_Olah_Raga,2) KWARCAB(Lembaga),,16
