elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Pemuda_Olah_Raga,"1) Jumlah pemuda kader, pemuda pelopor dan pemuda wirausaha",,,,,,,,,,,,
Pemuda_Olah_Raga,1) Pemuda Kader,,,,,,,,,,,,
Pemuda_Olah_Raga,1) Paskibraka(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,2) Kepemimpinan Pemuda(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,3) Moral etika pemuda(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,4) Kepramukaan(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,5) Pola Kemitraan(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,6) Jambore Pemuda(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,7) Mutu Organisasi(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,8) Lomba kreativitas Pemuda(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,9) Temu Koordinasi lembaga Kemahasiswaan(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,10) Pelatihan IT(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,11) Pemuda Bahari(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,12) Tanasda(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,13) Pemuda Kreatif yang prestasinya diakui daerah(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,14) Pemuda yang hasil karya kreatifnya diakui daerah(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,2) Pemuda Pelopor,,,,,,,,,,,,
Pemuda_Olah_Raga,1) Pemuda Sarjana Penggerak Pembangunan Perdesaan (PSP3)(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,2) Kesukarelawanan(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,3) PPAN/KPN(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,4) PKBM(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,3) PemudaWirausaha Muda,,,,,,,,,,,,
Pemuda_Olah_Raga,1) Usaha Mikro dan Menengah Pemuda(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,2) Pelatihan Kewirausahaan Pemuda(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,3) Wirausaha Muda Pemula Prestasi(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,4) Pengembangan Pemuda Bidang Kewirausahaan(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,5) Bantuan KUPP(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,6) Pelaku Industri Olahraga(Orang),,,,,,,,,,,,
Pemuda_Olah_Raga,"2) Jumlah organisasi kepemudaan, kepramukaan dan olahraga",PERMEN 54,,,,,,,,,,,
Pemuda_Olah_Raga,1) Organisasi Kepemudaan,PERMEN 54,,,,,,,,,,,
Pemuda_Olah_Raga,1) KNPI (Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,2) OKP binaan KNPI(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,3) Forum Pemuda Binaan Dispora (Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,4) BEM(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,5) Unit kegiatan siswa(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,6) Unit kegiatan mahasiswa(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,7) Komunitas Pemuda Non Organisasi Kepemudaan(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,2) Organisasi olahraga,PERMEN 54,,,,,,,,,,,
Pemuda_Olah_Raga,1) KONI(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,2) Pengprov Induk organisasi Cabor(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,3) Club(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,4) Komunitas olahraga(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,5) FORMI(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,6) BAPOMI(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,7) BAPOPSI(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,8) Akademi/SSB (Sekolah sepakbola)(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,9) BAPOR Korpri(Lembaga),,,,,,,,,,,,
Pemuda_Olah_Raga,3) Organisasi Kepramukaan,,,,,,,,,,,,
Pemuda_Olah_Raga,1) KWARDA(Lembaga),,,,,,,,,,,,
