elemen,indikator,defenisi,nilai
Penanaman_Modal,1) Pengembangan Penanaman Modal *,,91.6
Penanaman_Modal,1) Nilai Ekspor Total(Rp Juta),PERMEN 54,21.3
Penanaman_Modal,2) Nilai Impor Total(Rp Juta),PERMEN 54,5.2
Penanaman_Modal,2) Fasilitasi dan Kerjasama Penanaman Modal,,74.3
Penanaman_Modal,1) Jumlah Kerjasama Penanaman Modal yang di fasilitasi (Buah),,92.8
Penanaman_Modal,1) Jumlah Kerjasama Penanaman Modal yang di fasilitasi (Buah),Pemerintah Daerah dapat memfasilitasi kerjasama antara calon investor dengan patner lokal (BUMD),23.4
Penanaman_Modal,3) Pengendalian Pelaksanaan Penanaman Modal,,86.2
Penanaman_Modal,1) Jumlah Perusahaan PMA yang menyampaikan LKPM (Dokumen),,58.9
Penanaman_Modal,2) Jumlah Perusahaan PMDN yang menyampaikan LKPM (Dokumen),,57.3
Penanaman_Modal,4) Lembaga Perijinan *,,35.5
Penanaman_Modal,1) PTSP (Unit),"Pelayanan Terpadu Satu Pintu, yang selanjutnya disingkat PTSP adalah pelayanan secara terintegrasi dalam satu kesatuan proses dimulai dari tahap permohonan sampai dengan tahap penyelesaian produk pelayanan melalui satu pintu.",8
Penanaman_Modal,2) PTSP yang Menerapkan SPIPISE (Unit),"Sistem Pelayanan Informasi dan Perizinan Investasi Secara Elektronik, yang selanjutnya disingkat SPIPISE adalah Sistem pelayanan Perizinan dan Nonperizinan yang terintegrasi antara Pemerintah yang memiliki kewenangan Perizinan dan Nonperizinan dengan pemerintah daerah.",69.3
Penanaman_Modal,3) Sistem Informasi Potensi Investasi Daerah (SIPID),,59.2
Penanaman_Modal,1) Lama Pengurusan Perijinan *,,19.4
Penanaman_Modal,4) Pengurusan Perijinan *,,12.6
Penanaman_Modal,1) SIUP : Surat Izin Usaha Perdagangan (Hari),PERMEN 54,2.2
Penanaman_Modal,3) IUI : Izin Usaha Industri (Hari),PERMEN 54,44.6
Penanaman_Modal,4) TDI : Tanda Daftar Industri (Hari),PERMEN 54,58.3
Penanaman_Modal,2) TDP : Tanda Daftar Perusahaan (Hari),PERMEN 54,36.9
Penanaman_Modal,6) HO : Izin Gangguan (Hari),PERMEN 54,71.4
Penanaman_Modal,7) Izin Prinsip Penanaman Modal (Dokumen),,95.6
Penanaman_Modal,8) Izin Usaha (Dokumen),,23.6
Penanaman_Modal,2) Jumlah Persyaratan Dokument Perijinan *,,76
Penanaman_Modal,2) TDP : Tanda Daftar Perusahaan (Dokumen),TDP adalah surat tanda pengesahan yang diberikan oleh kantor pendaftaran perusahaan kepada perusahaan perdagangan yang telah melakukan pendaftaran perusahaan. (PERATURAN MENTERI PERDAGNGAN REPUBLIK INDONESIA NOMOR 77/M-DAG/PER/12/2013 TENTANG PENERBITAN SURAT IZIN USAHA PERDAGANGAN DAN TANDA DAFTAR PERUSAHAAN SECARA SIMULTAN BAGI PERUSAHAAN PERDAGANGAN),49.6
