elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Penanaman_Modal,1) Pengembangan Penanaman Modal *,,,,,,,,,,,,
Penanaman_Modal,1) Nilai Ekspor Total(Rp Juta),PERMEN 54,,,,,,,,,,,
Penanaman_Modal,2) Nilai Impor Total(Rp Juta),PERMEN 54,,,,,,,,,,,
Penanaman_Modal,2) Fasilitasi dan Kerjasama Penanaman Modal,,,,,,,,,,,,
Penanaman_Modal,1) Jumlah Kerjasama Penanaman Modal yang di fasilitasi (Buah),,,,,,,,,,,,
Penanaman_Modal,1) Jumlah Kerjasama Penanaman Modal yang di fasilitasi (Buah),Pemerintah Daerah dapat memfasilitasi kerjasama antara calon investor dengan patner lokal (BUMD),,,,,,,,,,,
Penanaman_Modal,3) Pengendalian Pelaksanaan Penanaman Modal,,,,,,,,,,,,
Penanaman_Modal,1) Jumlah Perusahaan PMA yang menyampaikan LKPM (Dokumen),,,,,,,,,,,,
Penanaman_Modal,2) Jumlah Perusahaan PMDN yang menyampaikan LKPM (Dokumen),,,,,,,,,,,,
Penanaman_Modal,4) Lembaga Perijinan *,,,,,,,,,,,,
Penanaman_Modal,1) PTSP (Unit),"Pelayanan Terpadu Satu Pintu, yang selanjutnya disingkat PTSP adalah pelayanan secara terintegrasi dalam satu kesatuan proses dimulai dari tahap permohonan sampai dengan tahap penyelesaian produk pelayanan melalui satu pintu.",,,,,,,,,,,
Penanaman_Modal,2) PTSP yang Menerapkan SPIPISE (Unit),"Sistem Pelayanan Informasi dan Perizinan Investasi Secara Elektronik, yang selanjutnya disingkat SPIPISE adalah Sistem pelayanan Perizinan dan Nonperizinan yang terintegrasi antara Pemerintah yang memiliki kewenangan Perizinan dan Nonperizinan dengan pemerintah daerah.",,,,,,,,,,,
Penanaman_Modal,3) Sistem Informasi Potensi Investasi Daerah (SIPID),,,,,,,,,,,,
Penanaman_Modal,1) Lama Pengurusan Perijinan *,,,,,,,,,,,,
Penanaman_Modal,4) Pengurusan Perijinan *,,,,,,,,,,,,
Penanaman_Modal,1) SIUP : Surat Izin Usaha Perdagangan (Hari),PERMEN 54,,,,,,,,,,,
Penanaman_Modal,3) IUI : Izin Usaha Industri (Hari),PERMEN 54,,,,,,,,,,,
Penanaman_Modal,4) TDI : Tanda Daftar Industri (Hari),PERMEN 54,,,,,,,,,,,
Penanaman_Modal,2) TDP : Tanda Daftar Perusahaan (Hari),PERMEN 54,,,,,,,,,,,
Penanaman_Modal,6) HO : Izin Gangguan (Hari),PERMEN 54,,,,,,,,,,,
Penanaman_Modal,7) Izin Prinsip Penanaman Modal (Dokumen),,,,,,,,,,,,
Penanaman_Modal,8) Izin Usaha (Dokumen),,,,,,,,,,,,
Penanaman_Modal,2) Jumlah Persyaratan Dokument Perijinan *,,,,,,,,,,,,
