elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Pendidikan,1) Jumlah Sekolah,,,,,,,,,,,,
Pendidikan,1) Taman Kanak-Kanak (TK)(Unit),,,,,,,,,,,,
Pendidikan,1) Negeri(Unit),,,,,,,,,,,,
Pendidikan,1) Bangunan Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Bangunan Tidak Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Swasta(Unit),,,,,,,,,,,,
Pendidikan,1) Bangunan Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Bangunan Tidak Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Sekolah Luar Biasa (SLB)(Unit),,,,,,,,,,,,
Pendidikan,1) Negeri(Unit),,,,,,,,,,,,
Pendidikan,1) Bangunan Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Bangunan Tidak Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Swasta(Unit),,,,,,,,,,,,
Pendidikan,1) Bangunan Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Bangunan Tidak Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,3) Sekolah Dasar (SD)(Unit),,,,,,,,,,,,
Pendidikan,1) Negeri(Unit),,,,,,,,,,,,
Pendidikan,1) Bangunan Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Bangunan Tidak Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Swasta(Unit),,,,,,,,,,,,
Pendidikan,1) Bangunan Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Bangunan Tidak Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,4) Sekolah Lanjut Tingkat Pertama (SMP)(Unit),,,,,,,,,,,,
Pendidikan,1) Negeri(Unit),,,,,,,,,,,,
Pendidikan,1) Bangunan Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Bangunan Tidak Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Swasta(Unit),,,,,,,,,,,,
Pendidikan,1) Bangunan Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Bangunan Tidak Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,5) Sekolah Lanjut Tingkat Atas (SMA)(Unit),,,,,,,,,,,,
Pendidikan,1) Negeri(Unit),,,,,,,,,,,,
Pendidikan,1) Bangunan Baik (Unit),PERMEN 54,,,,,,,,,,,
Pendidikan,2) Bangunan Tidak Baik (Unit),PERMEN 54,,,,,,,,,,,
