elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Perdagangan,1) Perdagangan *,,,,,,,,,,,,
Perdagangan,1) Sarana Perdagangan *,"sarana perdagangan adalah sarana berupa pasar rakyat, Gudang Non Sistem Resi Gudang dan pusat distribusi untuk mendukung kelancaran distribusi arus barang",,,,,,,,,,,
Perdagangan,1) Pasar Tradisional (Buah),"pasar tradisional adalah pasar yang dibangun dan dikelola oleh pemerintah, pemerintah daerah, swasta, badan usaha milik negara, badan usaha milik daerah termasuk kerja sama dengan swasta dengan tempat usaha berupa toko, kios, los dan tenda yang dimiliki oleh pedagang kecil/menengah dengan proses jual beli barang dagangan melalui tawar menawar",,,,,,,,,,,
Perdagangan,2) Pasar Swalayan/Supermarket/Toserba (Buah),"Swalayan adalah toko dengan sistem pelayanan mandiri, menjual berbagai jenis barang secara eceran yang berbentuk minimarket, supermarket, department store, hypermarket ataupun grosir yang berbentuk perkulakan.",,,,,,,,,,,
Perdagangan,3) Hipermarket (Buah),,,,,,,,,,,,
Perdagangan,4) Pasar Grosir (Buah),,,,,,,,,,,,
Perdagangan,5) Mal/Plaza (Buah),,,,,,,,,,,,
Perdagangan,6) Pertokoan/Warung/Kios (Buah),toko adalah bangunan gedung dengan fungsi usaha yang digunakan untuk menjual barang dan terdiri dari hanya satu penjual,,,,,,,,,,,
Perdagangan,2) Restoran dan Rumah Makan *,,,,,,,,,,,,
Perdagangan,1) Restoran (Unit),,,,,,,,,,,,
Perdagangan,1) Jumlah Jenis Restoran *,,,,,,,,,,,,
Perdagangan,1) Jenis Tertinggi (Unit),,,,,,,,,,,,
Perdagangan,2) Jenis Menengah (Unit),,,,,,,,,,,,
Perdagangan,3) Jenis Terendah (Unit),,,,,,,,,,,,
Perdagangan,2) Jumlah Kelas Restoran *,,,,,,,,,,,,
Perdagangan,1) Kelas A (Unit),(PERMEN 54),,,,,,,,,,,
Perdagangan,2) Kelas B (Unit),(PERMEN 54),,,,,,,,,,,
Perdagangan,3) Kelas C (Unit),(PERMEN 54),,,,,,,,,,,
Perdagangan,4) Kelas D (Unit),,,,,,,,,,,,
Perdagangan,2) Rumah Makan (Unit),,,,,,,,,,,,
Perdagangan,1) Jumlah Jenis Rumah Makan *,,,,,,,,,,,,
Perdagangan,1) Jenis Tertinggi (Unit),,,,,,,,,,,,
Perdagangan,2) Jenis Menengah (Unit),,,,,,,,,,,,
Perdagangan,3) Jenis Terendah (Unit),,,,,,,,,,,,
Perdagangan,2) Jumlah Kelas Rumah Makan *,,,,,,,,,,,,
Perdagangan,1) Kelas A (Unit),(PERMEN 54),,,,,,,,,,,
Perdagangan,2) Kelas B (Unit),(PERMEN 54),,,,,,,,,,,
Perdagangan,3) Kelas C (Unit),(PERMEN 54),,,,,,,,,,,
Perdagangan,4) Kelas D (Unit),,,,,,,,,,,,
Perdagangan,3) Jenis Bangunan Pasar *,,,,,,,,,,,,
Perdagangan,1) Pasar Bangunan Permanen/Semi Permanen (Buah),,,,,,,,,,,,
Perdagangan,2) Pasar Tanpa Bangunan Permanen/Semi Permanen (Buah),,,,,,,,,,,,
Perdagangan,3) Pusat Perdagangan (Unit),,,,,,,,,,,,
Perdagangan,4) Rumah Potong Hewan dan Unggas (Unit),,,,,,,,,,,,
Perdagangan,2) Nilai Ekspor Total(Rp Juta),(PERMEN 54),,,,,,,,,,,
Perdagangan,3) Nilai Impor Total(Rp Juta),(PERMEN 54),,,,,,,,,,,
Perdagangan,4) Jumlah Kelompok Pedagang/Usaha Informal yang Mendapatkan Bantuan Binaan dari Pemda (Kelompok),(PERMEN 54),,,,,,,,,,,
Perdagangan,5) PDRB Subsektor Perdagangan(Rp Juta),(PERMEN 54),,,,,,,,,,,
Perdagangan,"6) Perdagangan, Hotel dan Restoran(Rp Juta)",(PERMEN 54),,,,,,,,,,,
