elemen,indikator,defenisi,nilai
Perempuan_Anak,1) Pendidikan,,79.9
Perempuan_Anak,1) Jumlah Penduduk Perempuan(Orang),,57
Perempuan_Anak,2) Jumlah perempuan tamat SMA (Orang),,34.7
Perempuan_Anak,3) Jumlah perempuan Tamatan Wajib Dasar 9 (Sembilan) Tahun(Orang),,53.5
Perempuan_Anak,2) Index Pembangunan Gender,,54.9
Perempuan_Anak,1) Indeks Pembangunan Gender,,65.4
Perempuan_Anak,2) Indeks Pemberdayaan Perempuan,,71.6
Perempuan_Anak,3) Pengarustamaan Gender (PUG),,30.8
Perempuan_Anak,1) Perencanaan Penganggaran Responsif Gender (PPRG),,16
Perempuan_Anak,1) Jumlah Perangkat Daerah Yang Sudah Menerapkan PPRG,,40.9
Perempuan_Anak,"2) Dokumen Rencana Daerah ( RPJPD, RPJMD, RKPD) dengan data terpilah",,87.7
Perempuan_Anak,3) Statistik Gender/Profil Gender/Data Terpilah menurut Jenis Kelamin,,36.9
Perempuan_Anak,4) Perlindungan Perempuan dan Kualitas Hidup Perempuan,,11.4
Perempuan_Anak,1) jumlah pekerja perempuan pada Badan/Kantor Pemberdayaan Perempuan dan Perlindungan Anak yang menempa,PERMEN 54,24.8
Perempuan_Anak,2) jumlah pekerja perempuan pada Badan/Kantor Pemberdayaan Perempuan dan Perlindungan Anak yang menempa,PERMEN 54,0.1
Perempuan_Anak,3) jumlah pekerja perempuan pada Badan/Kantor Pemberdayaan Perempuan dan Perlindungan Anak yang menempa,PERMEN 54,9.4
Perempuan_Anak,4) jumlah pekerja perempuan pada lembaga pemerintah (Orang),PERMEN 54,43.4
Perempuan_Anak,"5) jumlah pekerja perempuan pada lembaga swasta (perempuan sebagai tenaga manager, professional, admini",,23.2
Perempuan_Anak,"6) jumlah pekerja perempuan pada lembaga swasta (di Bidang Kelautan, Perikanan dan Pertanian/Perkebunan",,94.2
Perempuan_Anak,7) jumlah perempuan sebagai kepala keluarga (Orang),,41.4
Perempuan_Anak,8) persentase Tingat Partisipasi Angkatan Kerja perempuan(%),,81.5
Perempuan_Anak,9) jumlah perempuan sebagai kepala keluarga miskin (Orang),,94
Perempuan_Anak,10) jumlah perempuan berhadapan dengan hukum (Orang),,13.7
Perempuan_Anak,11) jumlah perempuan berhadapan dengan hukum yang melapor (Orang),,47.2
Perempuan_Anak,12) persen keterlibatan perempuan di parlemen (DPRD) (%),,3.5
Perempuan_Anak,13) jumlah perempuan di parlemen DPRD (Orang),,26.8
Perempuan_Anak,5) Perlindungan anak dan pemenuhan hak anak,,45.2
