elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Perempuan_Anak,1) Pendidikan,,,,,,,,,,,,
Perempuan_Anak,1) Jumlah Penduduk Perempuan(Orang),,,,,,,,,,,,
Perempuan_Anak,2) Jumlah perempuan tamat SMA (Orang),,,,,,,,,,,,
Perempuan_Anak,3) Jumlah perempuan Tamatan Wajib Dasar 9 (Sembilan) Tahun(Orang),,,,,,,,,,,,
Perempuan_Anak,2) Index Pembangunan Gender,,,,,,,,,,,,
Perempuan_Anak,1) Indeks Pembangunan Gender,,,,,,,,,,,,
Perempuan_Anak,2) Indeks Pemberdayaan Perempuan,,,,,,,,,,,,
Perempuan_Anak,3) Pengarustamaan Gender (PUG),,,,,,,,,,,,
Perempuan_Anak,1) Perencanaan Penganggaran Responsif Gender (PPRG),,,,,,,,,,,,
Perempuan_Anak,1) Jumlah Perangkat Daerah Yang Sudah Menerapkan PPRG,,,,,,,,,,,,
Perempuan_Anak,"2) Dokumen Rencana Daerah ( RPJPD, RPJMD, RKPD) dengan data terpilah",,,,,,,,,,,,
Perempuan_Anak,3) Statistik Gender/Profil Gender/Data Terpilah menurut Jenis Kelamin,,,,,,,,,,,,
Perempuan_Anak,4) Perlindungan Perempuan dan Kualitas Hidup Perempuan,,,,,,,,,,,,
Perempuan_Anak,1) jumlah pekerja perempuan pada Badan/Kantor Pemberdayaan Perempuan dan Perlindungan Anak yang menempa,PERMEN 54,,,,,,,,,,,
Perempuan_Anak,2) jumlah pekerja perempuan pada Badan/Kantor Pemberdayaan Perempuan dan Perlindungan Anak yang menempa,PERMEN 54,,,,,,,,,,,
Perempuan_Anak,3) jumlah pekerja perempuan pada Badan/Kantor Pemberdayaan Perempuan dan Perlindungan Anak yang menempa,PERMEN 54,,,,,,,,,,,
Perempuan_Anak,4) jumlah pekerja perempuan pada lembaga pemerintah (Orang),PERMEN 54,,,,,,,,,,,
Perempuan_Anak,"5) jumlah pekerja perempuan pada lembaga swasta (perempuan sebagai tenaga manager, professional, admini",,,,,,,,,,,,
Perempuan_Anak,"6) jumlah pekerja perempuan pada lembaga swasta (di Bidang Kelautan, Perikanan dan Pertanian/Perkebunan",,,,,,,,,,,,
Perempuan_Anak,7) jumlah perempuan sebagai kepala keluarga (Orang),,,,,,,,,,,,
Perempuan_Anak,8) persentase Tingat Partisipasi Angkatan Kerja perempuan(%),,,,,,,,,,,,
Perempuan_Anak,9) jumlah perempuan sebagai kepala keluarga miskin (Orang),,,,,,,,,,,,
Perempuan_Anak,10) jumlah perempuan berhadapan dengan hukum (Orang),,,,,,,,,,,,
Perempuan_Anak,11) jumlah perempuan berhadapan dengan hukum yang melapor (Orang),,,,,,,,,,,,
Perempuan_Anak,12) persen keterlibatan perempuan di parlemen (DPRD) (%),,,,,,,,,,,,
Perempuan_Anak,13) jumlah perempuan di parlemen DPRD (Orang),,,,,,,,,,,,
Perempuan_Anak,5) Perlindungan anak dan pemenuhan hak anak,,,,,,,,,,,,
Perempuan_Anak,1) Jumlah Kabupaten/Kota menuju layak anak (Kab/Kota),,,,,,,,,,,,
Perempuan_Anak,2) Jumlah Forum anak yang telah terbentuk (Unit),,,,,,,,,,,,
Perempuan_Anak,3) lembaga/forum/media yang memfasilitasi untuk pelaksanaan perlindungan dan pemenuhan hak anak(Unit),,,,,,,,,,,,
Perempuan_Anak,1) Bina Keluarga Balita(Unit),,,,,,,,,,,,
Perempuan_Anak,2) Pusat Pemulihan Gizi(Unit),,,,,,,,,,,,
Perempuan_Anak,3) Lembaga Advokasi Perlindungan Anak (Unit),,,,,,,,,,,,
