elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Perhubungan,1) Perhubungan *,,,,,,,,,,,,
Perhubungan,1) Transportasi Darat *,,,,,,,,,,,,
Perhubungan,1) Angkutan Darat *,,,,,,,,,,,,
Perhubungan,1) Jumlah Barang yang Terangkut Angkutan Umum (Ton),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Jumlah Angkutan Darat (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Terminal Penumpang *,,,,,,,,,,,,
Perhubungan,1) Jumlah Terminal Tipe A(Unit),,,,,,,,,,,,
Perhubungan,2) Jumlah Terminal Tipe B (Unit),,,,,,,,,,,,
Perhubungan,3) Jumlah Terminal Tipe C(Unit),,,,,,,,,,,,
Perhubungan,4) Jumlah Penumpang yang Melalui Terminal (Orang),,,,,,,,,,,,
Perhubungan,5) Jumlah Trayek Antar Kota Antar Provinsi(trayek),,,,,,,,,,,,
Perhubungan,6) Jumlah Trayek Antar Kota dalam Provinsi(trayek),,,,,,,,,,,,
Perhubungan,7) Jumlah Trayek Angkutan Kota(trayek),,,,,,,,,,,,
Perhubungan,8) Jumlah Trayek Angkutan Perdesaan(trayek),,,,,,,,,,,,
Perhubungan,9) Jumlah Trayek Lintas Batas Negara(trayek),,,,,,,,,,,,
Perhubungan,10) Jumlah Penumpang yang Melalui Terminal (Buah),,,,,,,,,,,,
Perhubungan,11) Jumlah Barang yang Melalui Terminal (Unit),,,,,,,,,,,,
Perhubungan,12) Jumlah Barang yang Melalui Terminal (Ton),,,,,,,,,,,,
Perhubungan,13) Terminal Darat **(Unit),,,,,,,,,,,,
Perhubungan,1) Jumlah Terminal Terminal Barang (Kali),,,,,,,,,,,,
Perhubungan,2) Jumlah Terminal Penumpang (unit),,,,,,,,,,,,
Perhubungan,3) Jumlah Frekuensi perjalanan angkutan umum(kali),,,,,,,,,,,,
Perhubungan,4) Jumlah Rute perjalanan angkutan umum(kali),,,,,,,,,,,,
Perhubungan,3) Angkutan Tidak Dalam Trayek,,,,,,,,,,,,
Perhubungan,1) Jumlah Angkutan Taxi(Unit),,,,,,,,,,,,
Perhubungan,4) Angkutan Penyeberangan *(Unit),,,,,,,,,,,,
Perhubungan,1) Dermaga (Unit),,,,,,,,,,,,
Perhubungan,2) Komersil (Unit),,,,,,,,,,,,
Perhubungan,3) Perintis (Unit),,,,,,,,,,,,
Perhubungan,4) Kapal Penyeberangan(Unit),,,,,,,,,,,,
Perhubungan,5) Kendaraan Roda Empat (Unit),,,,,,,,,,,,
Perhubungan,6) Jumlah Penumpang yang Melalui Dermaga (Orang),,,,,,,,,,,,
Perhubungan,7) Jumlah Barang yang Melalui Dermaga (Ton),,,,,,,,,,,,
Perhubungan,5) Jumlah (UPPKB) Jembatan Timbang (Buah),,,,,,,,,,,,
Perhubungan,6) Angkutan Kereta Api *,,,,,,,,,,,,
Perhubungan,1) Jumlah Stasiun Kereta Api (Stasiun),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Jumlah Frekuensi perjalanan angkutan kereta api (Kali),PERMEN 54,,,,,,,,,,,
Perhubungan,3) Jumlah Rute perjalanan angkutan kereta api (Rute),,,,,,,,,,,,
Perhubungan,7) Jumlah rambu-rambu (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,8) Jumlah rambu-rambu yang seharusnya tersedia (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Transportasi Laut *,,,,,,,,,,,,
Perhubungan,1) Jumlah Pelabuhan (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Jumlah Rute (Unit),,,,,,,,,,,,
Perhubungan,3) Jumlah frekuensi penyebrangan(Unit),,,,,,,,,,,,
Perhubungan,4) Jumlah frekuensi penyebrangan(RIT),,,,,,,,,,,,
Perhubungan,5) Pelabuhan Yang Diusahakan *,,,,,,,,,,,,
Perhubungan,1) Peti Kemas (Unit),,,,,,,,,,,,
Perhubungan,2) Semi Peti Kemas (Unit),,,,,,,,,,,,
Perhubungan,3) Non Peti Kemas (Unit),,,,,,,,,,,,
Perhubungan,6) Pelabuhan Yang Tidak Diusahakan *,,,,,,,,,,,,
Perhubungan,1) Pendaratan Ikan (Unit),,,,,,,,,,,,
Perhubungan,2) Kapal (Unit),,,,,,,,,,,,
Perhubungan,3) Penumpang (Orang),,,,,,,,,,,,
Perhubungan,4) Pelni (Unit),,,,,,,,,,,,
Perhubungan,5) Jumlah (Unit),,,,,,,,,,,,
Perhubungan,6) Kapasitas (Buah),,,,,,,,,,,,
Perhubungan,7) Swasta (Buah),,,,,,,,,,,,
Perhubungan,8) Jumlah (Unit),,,,,,,,,,,,
Perhubungan,3) Transportasi Udara *,,,,,,,,,,,,
Perhubungan,1) Jumlah Bandara Umum*,,,,,,,,,,,,
Perhubungan,1) Internasional (Unit),,,,,,,,,,,,
Perhubungan,2) Domestik(Unit),,,,,,,,,,,,
Perhubungan,3) Pengumpul(Unit),,,,,,,,,,,,
Perhubungan,4) Pengumpan(Unit),,,,,,,,,,,,
Perhubungan,5) Jumlah Penumpang yang Melalui Bandara (Unit),,,,,,,,,,,,
Perhubungan,6) Jumlah Barang yang Melalui Bandara (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,7) Jumlah Frekuensi Penerbangan (Unit),,,,,,,,,,,,
Perhubungan,2) Jumlah Bandara Umum*,,,,,,,,,,,,
Perhubungan,3) Jumlah Maskapai (Unit),,,,,,,,,,,,
Perhubungan,4) Jumlah Penumpang Angkutan **(Unit),,,,,,,,,,,,
Perhubungan,1) Jumlah Penumpang Bis (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Jumlah Penumpang Kereta Api (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,3) Jumlah Penumpang Kapal Laut (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,4) Jumlah Penumpang Pesawat Udara (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Angkutan Umum *,,,,,,,,,,,,
Perhubungan,1) Jumlah Angkutan Umum **(Unit),,,,,,,,,,,,
Perhubungan,1) Mobil Penumpang Umum (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Mobil Bus (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,3) Mobil Barang (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,4) Kereta Gandengan (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,5) Kereta Tempelan (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Jumlah Ijin Trayek yang Dikeluarkan **(Unit),,,,,,,,,,,,
Perhubungan,1) Izin Trayek antarkota antarprovinsi (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Izin Trayek Perkotaan (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,3) Izin Trayek Pedesaan (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,3) Jumlah Uji Kir Angkutan Umum **(Unit),,,,,,,,,,,,
Perhubungan,1) Mobil Penumpang Umum (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Mobil Bus (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,3) Mobil Barang (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,4) Kereta Gandengan (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,5) Kereta Tempelan (Unit),PERMEN 54,,,,,,,,,,,
Perhubungan,4) Lama Pengujian KIR **(Hari),,,,,,,,,,,,
Perhubungan,1) Mobil Penumpang Umum (Hari),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Mobil Bus (Hari),PERMEN 54,,,,,,,,,,,
Perhubungan,3) Mobil Barang (Hari),PERMEN 54,,,,,,,,,,,
Perhubungan,4) Kereta Gandengan (Hari),PERMEN 54,,,,,,,,,,,
Perhubungan,5) Kereta Tempelan (Hari),PERMEN 54,,,,,,,,,,,
Perhubungan,5) Biaya Pengujian KIR **(Rp),,,,,,,,,,,,
Perhubungan,1) Mobil Penumpang Umum (Rp),PERMEN 54,,,,,,,,,,,
Perhubungan,2) Mobil Bus (Rp),PERMEN 54,,,,,,,,,,,
Perhubungan,3) Mobil Barang (Rp),PERMEN 54,,,,,,,,,,,
Perhubungan,4) Kereta Gandengan (Rp),PERMEN 54,,,,,,,,,,,
Perhubungan,5) Kereta Tempelan (Rp),PERMEN 54,,,,,,,,,,,
Perhubungan,3) Pelayanan Transportasi *,,,,,,,,,,,,
Perhubungan,"1) Fasilitas Pendukung Keselamatan (Pengujian, dll) (Unit)",,,,,,,,,,,,
Perhubungan,"2) Fasilitas Perlengkapan Jalan (halte, trotoar) **(Unit)",,,,,,,,,,,,
Perhubungan,1) Trotoar (Unit),,,,,,,,,,,,
Perhubungan,2) Jalur Sepeda (Unit),,,,,,,,,,,,
Perhubungan,3) Tempat Penyeberangan Pejalan Kaki (Unit),,,,,,,,,,,,
Perhubungan,4) Halte (Unit),,,,,,,,,,,,
Perhubungan,5) Fasilitas Khusus Penyandang Cacat (Unit),,,,,,,,,,,,
Perhubungan,3) Jaringan Jalan dan Perambuan (Unit),,,,,,,,,,,,
Perhubungan,4) Jaringan Pelayanan Angkutan (Unit),,,,,,,,,,,,
Perhubungan,5) Manajemen Rekayasa (Unit),,,,,,,,,,,,
Perhubungan,6) Pelayanan Angkutan (Unit),,,,,,,,,,,,
Perhubungan,7) Penerangan Jalan Lingkungan (Unit),,,,,,,,,,,,
Perhubungan,4) Jumlah Kendaraan Bermotor **(Unit),,,,,,,,,,,,
Perhubungan,1) Mobil Penumpang (Unit),,,,,,,,,,,,
Perhubungan,2) Bus (Unit),,,,,,,,,,,,
Perhubungan,3) Truk (Unit),,,,,,,,,,,,
Perhubungan,4) Sepeda Motor (Unit),,,,,,,,,,,,
Perhubungan,5) Angkutan Rel(Rp Juta),PERMEN 54,,,,,,,,,,,
Perhubungan,6) Angkutan Jalan Raya(Rp Juta),PERMEN 54,,,,,,,,,,,
Perhubungan,7) Angkutan Laut(Rp Juta),PERMEN 54,,,,,,,,,,,
Perhubungan,"8) Angkutan Sungai, Danau, dan Penyeberangan(Rp Juta)",PERMEN 54,,,,,,,,,,,
Perhubungan,9) Angkutan Udara(Rp Juta),PERMEN 54,,,,,,,,,,,
Perhubungan,10) Jasa Pengangkutan(Rp Juta),PERMEN 54,,,,,,,,,,,
Perhubungan,11) Pengangkutan dan Komunikasi(Rp Juta),PERMEN 54,,,,,,,,,,,
