elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Perindustrian,7) Industri *,,,,,,,,,,,,
Perindustrian,1) Industri Kecil *,Menurut Keputusan Presiden RI no. 99 tahun 1998 pengertian Usaha Kecil adalah: ?Kegiatan ekonomi rakyat yang berskala kecil dengan bidang usaha yang secara mayoritas merupakan kegiatan usaha kecil dan perlu dilindungi untuk mencegah dari persaingan usaha yang tidak sehat.?,,,,,,,,,,,
Perindustrian,1) Unit Kerja (Unit),,,,,,,,,,,,
Perindustrian,2) Tenaga Kerja (Orang),Tenaga kerja adalah setiap orang yang mampu melakukan pekerjaan guna menghasilkan barang dan/atau jasa baik untuk memenuhi kebutuhan sendiri maupun untuk masyarakat.,,,,,,,,,,,
Perindustrian,3) Nilai Produksi (Rp Juta),,,,,,,,,,,,
Perindustrian,4) Jumlah Industri Kecil per Jenis Kerajinan *,[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,1) Kulit (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,2) Kayu (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,3) Logam/Logam Mulia (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,4) Anyaman/Gerabah/Keramik (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,5) Dari Kain Tenun (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,6) Industri Makanan/Minuman (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,7) Rambut (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,8) Tekstil (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,9) Pakaian jadi (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,10) Kertas (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,"11) Penerbitan, Percetakan, dan reproduksi media rekaman (Unit)",[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,"12) Industri Batu Bara, Pengilangan Minyak Bumi, Pengolahan Minyak Gas Bumi, Barang dari Hasil Pengilang",[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,13) Kimia (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,14) Karet (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,15) Daur ulang (Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,16) Rokok(Unit),[sudah jelas] (PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NO : 11/M-IND/PER/3/2014),,,,,,,,,,,
Perindustrian,2) Industri Mikro *,Industri Mikro adalah usaha produktif milik orang perorangan dan/atau badan usaha perorangan yang memenuhi kriteria Usaha Mikro sebagaimana diatur dalam Undang-Undang,,,,,,,,,,,
Perindustrian,1) Unit Kerja (Unit),,,,,,,,,,,,
Perindustrian,2) Tenaga Kerja (Orang),Tenaga kerja adalah setiap orang yang mampu melakukan pekerjaan guna menghasilkan barang dan/atau jasa baik untuk memenuhi kebutuhan sendiri maupun untuk masyarakat.,,,,,,,,,,,
Perindustrian,3) Nilai Produksi (Rp Juta),,,,,,,,,,,,
Perindustrian,4) Jumlah Industri Mikro (Unit),(PERMEN 54),,,,,,,,,,,
Perindustrian,3) Industri Menengah *,"Industri Menengah adalah usaha ekonomi produktif yang berdiri sendiri, yang dilakukan oleh orang perorangan atau badan usaha yang bukan merupakan anak perusahaan atau cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian baik langsung maupun tidak langsung dengan Usaha Kecil atau Usaha Besar dengan jumlah kekayaan bersih atau hasil penjualan tahunan sebagaimana diatur dalam UndangUndang",,,,,,,,,,,
Perindustrian,1) Unit Kerja (Unit),,,,,,,,,,,,
Perindustrian,2) Tenaga Kerja (Orang),Tenaga kerja adalah setiap orang yang mampu melakukan pekerjaan guna menghasilkan barang dan/atau jasa baik untuk memenuhi kebutuhan sendiri maupun untuk masyarakat.,,,,,,,,,,,
Perindustrian,3) Nilai Produksi (RP Juta),,,,,,,,,,,,
Perindustrian,4) Jumlah Industri Menengah (Unit),,,,,,,,,,,,
Perindustrian,4) Industri Besar *,,,,,,,,,,,,
Perindustrian,1) Unit Kerja (Unit),,,,,,,,,,,,
Perindustrian,2) Tenaga Kerja (Orang),Tenaga kerja adalah setiap orang yang mampu melakukan pekerjaan guna menghasilkan barang dan/atau jasa baik untuk memenuhi kebutuhan sendiri maupun untuk masyarakat.,,,,,,,,,,,
Perindustrian,3) Nilai Produksi (Rp Juta),,,,,,,,,,,,
Perindustrian,5) Industri Rumah Tangga *,perusahaan pangan yang memiliki tempat usaha di tempat tinggal dengan peralatan pengolahan pangan manual hingga semi otomatis.,,,,,,,,,,,
Perindustrian,1) Jumlah Unit Usaha (Unit),,,,,,,,,,,,
Perindustrian,2) Jumlah Tenaga Kerja (Orang),,,,,,,,,,,,
Perindustrian,6) Jumlah Seluruh Perusahaan Wajib Amdal (Unit),(PERMEN 54),,,,,,,,,,,
Perindustrian,7) Jumlah Perusahaan Wajib AMDAL yang Telah Diawasi (Unit),(PERMEN 54),,,,,,,,,,,
Perindustrian,8) Nilai Ekspor Total(Rp Juta),(PERMEN 54),,,,,,,,,,,
Perindustrian,9) Nilai Impor Total(Rp Juta),(PERMEN 54),,,,,,,,,,,
Perindustrian,10) Jumlah Industri/Perusahaan yang Menerapkan K3 (Unit),(PERMEN 54),,,,,,,,,,,
Perindustrian,11) Input Output Industri *,,,,,,,,,,,,
Perindustrian,1) Input Bahan **(Rp Juta),,,,,,,,,,,,
Perindustrian,1) Total Input Impor (Rp Juta),,,,,,,,,,,,
Perindustrian,2) Total Input Domestik Selain Lokal (Rp Juta),,,,,,,,,,,,
Perindustrian,3) Total Input Lokal (Rp Juta),,,,,,,,,,,,
Perindustrian,2) Total Output (Rp Juta),,,,,,,,,,,,
Perindustrian,3) Nilai Tambah *,,,,,,,,,,,,
Perindustrian,1) Total Nilai Tambah (Rp Juta),,,,,,,,,,,,
Perindustrian,2) Total Tenaga Kerja (Rp Juta),,,,,,,,,,,,
Perindustrian,3) Total Subsidi (Rp Juta),,,,,,,,,,,,
Perindustrian,4) Total Pajak Tak Langsung (Rp Juta),,,,,,,,,,,,
Perindustrian,4) Nilai Tambah Produktivitas Sektor *,,,,,,,,,,,,
Perindustrian,1) Pertanian (Rp Juta),,,,,,,,,,,,
Perindustrian,2) Pertambangan & Penggalian (Rp Juta),,,,,,,,,,,,
Perindustrian,3) Industri & Pengelolaan (Rp Juta),,,,,,,,,,,,
Perindustrian,"4) Listrik, Gas & Air Bersih (Rp Juta)",,,,,,,,,,,,
Perindustrian,5) Konstruksi (Rp Juta),,,,,,,,,,,,
Perindustrian,"6) Perdagangan, Hotel & Restoran (Rp Juta)",,,,,,,,,,,,
Perindustrian,7) Pengangkutan & Transportasi (Rp Juta),,,,,,,,,,,,
