elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Permukiman,1) Perumahan *,,,,,,,,,,,,
Permukiman,1) Jumlah Penduduk(Jiwa),,,,,,,,,,,,
Permukiman,2) Jumlah KK(KK),,,,,,,,,,,,
Permukiman,3) Jumlah Rumah Tangga(RT),,,,,,,,,,,,
Permukiman,4) Jumlah MBR(Jiwa),,,,,,,,,,,,
Permukiman,5) Jumlah Rumah Tangga yang telah menghuni rumah(RT),,,,,,,,,,,,
Permukiman,6) Jumlah KK yang telah menghuni rumah(KK),,,,,,,,,,,,
Permukiman,7) Jumlah Rumah Tangga yang telah memiliki rumah,,,,,,,,,,,,
Permukiman,8) Jumlah KK yang telah memiliki rumah,,,,,,,,,,,,
Permukiman,9) Jumlah Rumah Berdasarkan Status Kepemilikan **,,,,,,,,,,,,
Permukiman,1) Rumah Milik Sendiri (Unit),,,,,,,,,,,,
Permukiman,2) Rumah Sewa (Unit),,,,,,,,,,,,
Permukiman,3) Rumah Kontrak (Unit),,,,,,,,,,,,
Permukiman,4) Rumah Bebas Sewa (Unit),,,,,,,,,,,,
Permukiman,5) Rumah Dinas (Unit),,,,,,,,,,,,
Permukiman,6) Rumah Orang Tua (Unit),,,,,,,,,,,,
Permukiman,7) Rumah Lainnya(Unit),,,,,,,,,,,,
Permukiman,10) Jumlah Rumah Berdasarkan Tingkat Penghunian Rumah **,,,,,,,,,,,,
Permukiman,1) Rumah dihuni(Unit),,,,,,,,,,,,
Permukiman,2) Rumah tidak dihuni(Unit),,,,,,,,,,,,
Permukiman,11) Jumlah Rumah Berdasarkan Kelayakan**,,,,,,,,,,,,
Permukiman,1) Rumah Layak Huni **(Unit),,,,,,,,,,,,
Permukiman,1) Pedesaan (Unit),,,,,,,,,,,,
Permukiman,2) Perkotaan (Unit),,,,,,,,,,,,
Permukiman,2) Tidak Layak Huni **(Unit),,,,,,,,,,,,
Permukiman,1) Pedesaan (Unit),,,,,,,,,,,,
Permukiman,2) Perkotaan (Unit),,,,,,,,,,,,
Permukiman,12) Jumlah Rumah Berdasarkan Kondisi Fisik Bangunan **(Unit),,,,,,,,,,,,
Permukiman,1) Jumlah Rumah Bangunan Permanen (Unit),,,,,,,,,,,,
