elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Perpustakaan,1) Perpustakaan Provinsi,,,,,,,,,,,,
Perpustakaan,1) Komponen Layanan :,,,,,,,,,,,,
Perpustakaan,1) Rata-rata jam buka perpustakaan per hari(Jam),,,,,,,,,,,,
Perpustakaan,2) Jam buka perpustakaan per minggu(Jam),,,,,,,,,,,,
Perpustakaan,3) Jumlah pengunjung yang datang langsung ke perpustakaan rata-rata per hari satu tahun (Orang),PERMEN 54,,,,,,,,,,,
Perpustakaan,4) Jumlah pemustaka mengunjungi perpustakaan secara online per hari satu tahun(Orang),,,,,,,,,,,,
Perpustakaan,5) Jumlah rata-rata buku yang dipinjam per bulan dalam satu tahun(Judul),,,,,,,,,,,,
Perpustakaan,"6) Jenis promosi yang dilaksanakan (misalnya brosur, lomba, pameran, penyebaran daftar buku terbaru, di",,,,,,,,,,,,
Perpustakaan,"7) Jenis promosi berbasis media elektronik (Radio, TV, Web)(Jenis)",,,,,,,,,,,,
Perpustakaan,8) Jumlah promosi perpustakaan per tahun(Kali),,,,,,,,,,,,
Perpustakaan,9) Jumlah titik layanan perpustakaan keliling per minggu(Titik),,,,,,,,,,,,
Perpustakaan,2) Komponen Kerja Sama,,,,,,,,,,,,
Perpustakaan,"1) Jumlah kerjasama pengembangan perpustakaan (Kerjasama dengan sesama perpustakaan, baik di dalam maup",,,,,,,,,,,,
Perpustakaan,2) Jumlah kerja sama pengembangan perpustakaan dengan perpustakaan dan lembaga lain di tingkat nasional,,,,,,,,,,,,
Perpustakaan,3) Jumlah kerja sama pengembangan perpustakaan dengan perpustakaan dan lembaga lain di tingkat interna,,,,,,,,,,,,
Perpustakaan,4) Jumlah perpustakaan yang memperoleh layanan silang layan (interlibrary loan) dari perpustakaan provi,,,,,,,,,,,,
Perpustakaan,3) Komponen Koleksi,,,,,,,,,,,,
Perpustakaan,1) Jumlah keseluruhan koleksi buku (cetak)( judul),,,,,,,,,,,,
Perpustakaan,2) Jumlah koleksi anak buku (cetak)( judul),,,,,,,,,,,,
Perpustakaan,3) Jumlah koleksi Remaja/Dewasa buku (cetak)( judul),,,,,,,,,,,,
Perpustakaan,4) Jumlah koleksi referensi buku (cetak)( judul),,,,,,,,,,,,
Perpustakaan,"5) Jumlah koleksi terbitan pemerintah (BPS, BNI, BUMN)( judul )",,,,,,,,,,,,
Perpustakaan,6) Jumlah koleksi muatan lokal( judul ),,,,,,,,,,,,
Perpustakaan,7) Jumlah koleksi untuk dispabel ( judul ),,,,,,,,,,,,
Perpustakaan,8) Prosentasi koleksi nonfiksi dari koleksi seluruhnya(%),,,,,,,,,,,,
Perpustakaan,9) Surat kabar yang dilanggan(judul ),,,,,,,,,,,,
Perpustakaan,10) Tabloid yang dilanggan(judul ),,,,,,,,,,,,
Perpustakaan,11) Majalah yang dilanggan ( judul ),,,,,,,,,,,,
Perpustakaan,12) Koleksi noncetak / Sumber Daya Elektronik( judul),,,,,,,,,,,,
Perpustakaan,13) Koleksi Alat Permainan Edukatif (APE)( jenis),,,,,,,,,,,,
Perpustakaan,14) Prosentase penambahan koleksi per tahun( %),,,,,,,,,,,,
Perpustakaan,15) Homepage/website perpustakaan(Sudah ada),,,,,,,,,,,,
Perpustakaan,16) Stok Opname ( tahun sekali),,,,,,,,,,,,
Perpustakaan,17) Penyiangan (tahun sekali),,,,,,,,,,,,
Perpustakaan,4) Komponen Sumber Daya Manusia,,,,,,,,,,,,
Perpustakaan,1) Status kepala perpustakaan(pegawai tetap non fungsional),,,,,,,,,,,,
Perpustakaan,2) Jenjang pendidikan kepala perpustakaan (S1 atau D IV sarjana terapan),,,,,,,,,,,,
Perpustakaan,3) Jumlah diklat perpustakaan yang pernah diikuti kepala perpustakaan 3 tahun terakhir ( kali),,,,,,,,,,,,
Perpustakaan,"4) Continuing rofessional development kepala perpustakaan (seminar, pelatihan, lokakarya, bimbingan tek",,,,,,,,,,,,
Perpustakaan,5) Jumlah tenaga perpustakaan,,,,,,,,,,,,
Perpustakaan,1) Jumlah Pustakawan(orang),,,,,,,,,,,,
Perpustakaan,2) Jumlah Tenaga Teknis Perpustakaan(orang),,,,,,,,,,,,
Perpustakaan,6) Jumlah tenaga perpustakaan yang berlatar belakang pendidikan minimal S2/S1/D3/D2 perpustakaan(orang),,,,,,,,,,,,
Perpustakaan,7) Jumlah tenaga perpustakaan berstatus pustakawan (fungsional)(orang),,,,,,,,,,,,
Perpustakaan,8) Jumlah tenaga fungsional tertentu bidang lainnya(orang),,,,,,,,,,,,
Perpustakaan,9) Jumlah rata-rata diklat perpustakaan yang diikuti tenaga teknis perpustakaan dalam 3 tahun( kal),,,,,,,,,,,,
Perpustakaan,"10) Jumlah rata-rata continuing professional development tenaga teknis perpustakaan (seminar, pelatihan,",,,,,,,,,,,,
Perpustakaan,"11) Jumlah tenaga perpustakaan sebagai anggota profesi (misalnya forum perpustakaan, asosiasi tenaga per",,,,,,,,,,,,
Perpustakaan,"5) Komponen Gedung/Ruang, Sarana dan Prasarana",,,,,,,,,,,,
Perpustakaan,1) Luas Gedung( m2),,,,,,,,,,,,
Perpustakaan,2) Luas ruang/area referensi( m2),,,,,,,,,,,,
Perpustakaan,3) Luas ruang/area koleksi keliling(m2),,,,,,,,,,,,
Perpustakaan,4) Luas ruang/area remaja/dewasa( m2),,,,,,,,,,,,
Perpustakaan,5) Luas ruang/area anak-anak(m2),,,,,,,,,,,,
