elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Persandian,1) Administrasi Pemerintahan,,,,,,,,,,,,
Persandian,1) Jumlah Kecamatan (Kec.),,,,,,,,,,,,
Persandian,2) Jumlah Kelurahan (Kel.),(PERMEN 54),,,,,,,,,,,
Persandian,3) Jumlah Desa (Desa),,,,,,,,,,,,
Persandian,4) Klasifikasi Desa(Desa),,,,,,,,,,,,
Persandian,1) Desa Swadaya (Desa),,,,,,,,,,,,
Persandian,2) Desa Swakarya (Desa),,,,,,,,,,,,
Persandian,3) Desa Swasembada (Desa),(PERMEN 54),,,,,,,,,,,
Persandian,4) Desa Pesisir (Desa),,,,,,,,,,,,
Persandian,5) Desa Perhutanan (Desa),,,,,,,,,,,,
Persandian,6) Perindustrian/Jasa (Desa),,,,,,,,,,,,
Persandian,7) Desa Perkebunan (Desa),,,,,,,,,,,,
Persandian,8) Desa Perladangan (Desa),,,,,,,,,,,,
Persandian,9) Desa Persawahan (Desa),,,,,,,,,,,,
Persandian,10) Desa Pertambangan (Desa),,,,,,,,,,,,
Persandian,11) Desa Peternakan (Desa),,,,,,,,,,,,
Persandian,12) Desa Wisata (Desa),,,,,,,,,,,,
Persandian,5) Jumlah RW (RW),,,,,,,,,,,,
Persandian,6) Jumlah RT (RT),,,,,,,,,,,,
Persandian,7) Jumlah Dusun (Dusun),,,,,,,,,,,,
Persandian,2) Status Otonomi Kabupaten / Kota,,,,,,,,,,,,
Persandian,1) Daerah Otonomi Baru (Wilayah),,,,,,,,,,,,
Persandian,2) Daerah Induk (Wilayah),,,,,,,,,,,,
Persandian,3) Daerah Dampak Pemekaran (Wilayah),,,,,,,,,,,,
Persandian,4) Daerah Non Pemekaran (Wilayah),,,,,,,,,,,,
Persandian,3) Perda dan Perijinan,,,,,,,,,,,,
Persandian,1) Jumlah Perda Yang Diterbitkan (Unit),,,,,,,,,,,,
Persandian,2) Jumlah Revisi Yang Dilakukan Sejak Terbitnya Perda RTRW (Unit),,,,,,,,,,,,
Persandian,3) Perda Yang Dikeluarkan (Unit),,,,,,,,,,,,
Persandian,1) Jumlah Peraturan Daerah Untuk RTRW (Unit),,,,,,,,,,,,
Persandian,2) Jumlah IMB Yang Dikeluarkan (Unit),,,,,,,,,,,,
Persandian,3) Jumlah Ijin Prinsip Yang Dikeluarkan (Unit),,,,,,,,,,,,
Persandian,4) Jumlah Ijin Usaha Yang Di Keluarkan (Unit),,,,,,,,,,,,
Persandian,5) Jumlah Ijin Untuk Hak Pengusahaan Perkebunan (Unit),,,,,,,,,,,,
Persandian,6) Jumlah Ijin Untuk Hak Pengusahaan Kehutanan (Unit),,,,,,,,,,,,
Persandian,7) Jumlah ijin Untuk Hak Pengusahaan Pertambangan (Unit),,,,,,,,,,,,
Persandian,8) Jumlah Perijinan Investasi PMA Yang Dikeluarkan/Setujui (Unit),,,,,,,,,,,,
Persandian,9) Jumlah Perijinan Investasi PMDN Yang Dikeluarkan/Setujui (Unit),,,,,,,,,,,,
Persandian,10) Jumlah dokumen perencanaan RPJPD yg telah ditetapkan dgn PERDA (Unit),(PERMEN 54),,,,,,,,,,,
Persandian,11) Jumlah dokumen perencanaan RPJMD yg telah ditetapkan dgn PERDA (Unit),(PERMEN 54),,,,,,,,,,,
Persandian,12) Jumlah dokumen perencanaan RKPD yg telah ditetapkan dgn PERDA (Unit),(PERMEN 54),,,,,,,,,,,
Persandian,13) Jumlah program RKPD tahun berkenaan (Unit),(PERMEN 54),,,,,,,,,,,
Persandian,14) Jumlah program RPJMD yang harus dilaksanakan tahun berkenaan (Unit),(PERMEN 54),,,,,,,,,,,
Persandian,15) Jumlah izin lokasi (Unit),(PERMEN 54),,,,,,,,,,,
Persandian,16) Jumlah pemohon izin lokasi (Orang),(PERMEN 54),,,,,,,,,,,
