elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Pertanian,1) Pertanian *,,,,,,,,,,,,
Pertanian,1) Luas Lahan Pertanian **(Ha),,,,,,,,,,,,
Pertanian,1) Lahan Basah (Ha),PERMEN 54,,,,,,,,,,,
Pertanian,2) Lahan Kering (Ha),PERMEN 54,,,,,,,,,,,
Pertanian,3) Lahan Dataran Tinggi (Ha),,,,,,,,,,,,
Pertanian,2) Jenis Irigasi Sawah *,,,,,,,,,,,,
Pertanian,1) Teknis (Ha),,,,,,,,,,,,
Pertanian,2) Setengah Teknis (Ha),,,,,,,,,,,,
Pertanian,3) Sederhana (Ha),,,,,,,,,,,,
Pertanian,4) Pengairan Desa / Non PU (Ha),,,,,,,,,,,,
Pertanian,5) Tadah Hujan (Ha),,,,,,,,,,,,
Pertanian,6) Lebak/Polder dan lainnya (Ha),,,,,,,,,,,,
Pertanian,3) Industri Pengolahan Hasil Pertanian *,,,,,,,,,,,,
Pertanian,1) Jumlah Perusahaan (Unit),PERMEN 54,,,,,,,,,,,
Pertanian,2) Omset Produksi (Juta),,,,,,,,,,,,
Pertanian,2) Hortikultura *,,,,,,,,,,,,
Pertanian,1) Mangga *,,,,,,,,,,,,
Pertanian,1) Luas Areal (Ha),,,,,,,,,,,,
Pertanian,2) Jumlah Tanaman (Pohon/Rumpun),Jumlah Tanaman adalah jumlah seluruh tanaman,,,,,,,,,,,
Pertanian,3) Jumlah Tanaman Menghasilkan (Pohon/Rumpun),Jumlah Tanaman Menghasilkan adalah jumlah tanaman yang sudah berproduksi,,,,,,,,,,,
Pertanian,4) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,5) Jumlah Produksi (Kg),,,,,,,,,,,,
Pertanian,6) Produktivitas perLuas (Kw/Ha),,,,,,,,,,,,
Pertanian,7) Produktivitas (Kg/Pohon),,,,,,,,,,,,
Pertanian,2) Jeruk *,,,,,,,,,,,,
Pertanian,1) Luas Areal (Ha),,,,,,,,,,,,
Pertanian,2) Jumlah Tanaman (Pohon/Rumpun),,,,,,,,,,,,
Pertanian,3) Jumlah Tanaman Menghasilkan (Pohon/Rumpun),,,,,,,,,,,,
Pertanian,4) Jumlah Produksi (Kg),,,,,,,,,,,,
Pertanian,5) Produktivitas (Kg/Pohon),,,,,,,,,,,,
Pertanian,6) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,7) Produktivitas perLuas (Kw/Ha),,,,,,,,,,,,
Pertanian,8) Jeruk Siam/Keprok,,,,,,,,,,,,
Pertanian,1) Jumlah Tanaman (Pohon/Rumpun),,,,,,,,,,,,
Pertanian,2) Jumlah Tanaman Menghasilkan (Pohon/Rumpun),,,,,,,,,,,,
Pertanian,3) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,4) Produktivitas (Kg/Pohon),,,,,,,,,,,,
Pertanian,9) Jeruk Besar,,,,,,,,,,,,
Pertanian,1) Jumlah Tanaman (Pohon),,,,,,,,,,,,
Pertanian,2) Jumlah Tanaman Menghasilkan (Pohon),,,,,,,,,,,,
Pertanian,3) Produktivitas (Kg/Pohon),,,,,,,,,,,,
Pertanian,4) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,3) Pepaya *,,,,,,,,,,,,
Pertanian,1) Luas Areal (Ha),,,,,,,,,,,,
Pertanian,2) Jumlah Tanaman (Pohon/Rumpun),,,,,,,,,,,,
Pertanian,3) Jumlah Tanaman Menghasilkan (Pohon/Rumpun),,,,,,,,,,,,
Pertanian,4) Jumlah Produksi (Kg),,,,,,,,,,,,
Pertanian,5) Produktivitas (Kg/Pohon),,,,,,,,,,,,
Pertanian,6) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,7) Produktivitas perLuas (Kw/Ha),,,,,,,,,,,,
Pertanian,4) Pisang *,,,,,,,,,,,,
Pertanian,1) Luas Areal (Ha),,,,,,,,,,,,
Pertanian,2) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,3) Jumlah Tanaman (Rumpun),,,,,,,,,,,,
Pertanian,4) Jumlah Tanaman Menghasilkan (Rumpun),,,,,,,,,,,,
Pertanian,5) Produktivitas (Kg/Rumpun),,,,,,,,,,,,
Pertanian,6) Produktivitas perLuas (Kw/Ha),,,,,,,,,,,,
Pertanian,5) Nanas *,,,,,,,,,,,,
Pertanian,1) Luas Areal (Ha),,,,,,,,,,,,
Pertanian,2) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,3) Jumlah Tanaman (Rumpun),,,,,,,,,,,,
Pertanian,4) Jumlah Tanaman Menghasilkan (Rumpun),,,,,,,,,,,,
Pertanian,5) Produktivitas (Kg/Rumpun),,,,,,,,,,,,
Pertanian,6) Produktivitas perLuas (Kw/Ha),,,,,,,,,,,,
Pertanian,6) Durian *,,,,,,,,,,,,
Pertanian,1) Luas Areal (Ha),,,,,,,,,,,,
Pertanian,2) Jumlah Tanaman (Pohon),,,,,,,,,,,,
Pertanian,3) Jumlah Tanaman Menghasilkan (Pohon),,,,,,,,,,,,
Pertanian,4) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,5) Produktivitas (Kg/Pohon),,,,,,,,,,,,
Pertanian,6) Produktivitas perLuas (Kw/Ha),,,,,,,,,,,,
Pertanian,7) Manggis *,,,,,,,,,,,,
Pertanian,1) Luas Areal (Ha),,,,,,,,,,,,
Pertanian,2) Jumlah Tanaman (Pohon),,,,,,,,,,,,
Pertanian,3) Jumlah Tanaman Menghasilkan (Pohon),,,,,,,,,,,,
Pertanian,4) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,5) Produktivitas (Kg/Pohon),,,,,,,,,,,,
Pertanian,6) Produktivitas perLuas (Kw/Ha),,,,,,,,,,,,
Pertanian,8) Melon *,,,,,,,,,,,,
Pertanian,1) Luas Areal (Ha),,,,,,,,,,,,
Pertanian,2) Jumlah Produksi (Ton),,,,,,,,,,,,
Pertanian,3) Produktivitas perLuas (Kw/Ha),,,,,,,,,,,,
Pertanian,9) Alpukat *,,,,,,,,,,,,
Pertanian,1) Luas Areal (Ha),,,,,,,,,,,,
Pertanian,2) Jumlah Tanaman (Pohon),,,,,,,,,,,,
Pertanian,3) Jumlah Tanaman Menghasilkan (Pohon),,,,,,,,,,,,
Pertanian,4) Jumlah Produksi (Ton),,,,,,,,,,,,
