elemen,indikator,defenisi,nilai
PU_Tata_Ruang,1) Jenis Prasarana Irigasi/Pengairan *,,83.1
PU_Tata_Ruang,1) Non Teknis (m),,58.6
PU_Tata_Ruang,2) Teknis **(m),,60.1
PU_Tata_Ruang,1) Primer (m),,94
PU_Tata_Ruang,2) Sekunder (m),,23.2
PU_Tata_Ruang,3) Tersier (m),,73.6
PU_Tata_Ruang,3) Luas Irigasi (Ha),,26.3
PU_Tata_Ruang,4) Luas Irigasi Dalam Kondisi Baik (Ha),,7.9
PU_Tata_Ruang,5) Luas Sawah Non Irigasi (Ha),,17.5
PU_Tata_Ruang,2) Luas daerah irigasi teknis(Ha),,62.5
PU_Tata_Ruang,3) Panjang Jaringan Sarana Irigasi Dalam Kondisi Baik(m),,32
PU_Tata_Ruang,4) Sempadan Sungai *,,92.6
PU_Tata_Ruang,1) Panjang Sempadan Sungai (Km),,31.9
PU_Tata_Ruang,2) Panjang Sempadan Sungai Yang Dipakai Bangunan Liar (Km),,50.8
PU_Tata_Ruang,5) Turap *,,94.6
PU_Tata_Ruang,1) Jumlah Lokasi Pembangunan Turap di Wilayah Jalan Penghubung dan Aliran Sungai Rawan Longsor (Km),,53.6
PU_Tata_Ruang,2) Jumlah Seluruh Wilayah Rawan Longsor (Km),,21.4
PU_Tata_Ruang,6) Penyediaan Air Baku,,83.3
PU_Tata_Ruang,1) Panjang sungai dalam satu kabupaten/kota(Km),,67.3
PU_Tata_Ruang,"2) Jumlah kapasitas tampungan air (waduk, embung, situ, dan tampungan air lainnya) yang dikelola kabupa",,2.3
PU_Tata_Ruang,7) Penyediaan bangunan pengaman pantai,,74.7
PU_Tata_Ruang,8) Panjang garis pantai pada wilayah sungai kewenangan kabupaten/kota yang berisiko abrasi terhadap sar,,94.3
PU_Tata_Ruang,9) Status Mutu Air *,,10.6
