elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
PU_Tata_Ruang,1) Jenis Prasarana Irigasi/Pengairan *,,,,,,,,,,,,
PU_Tata_Ruang,1) Non Teknis (m),,,,,,,,,,,,
PU_Tata_Ruang,2) Teknis **(m),,,,,,,,,,,,
PU_Tata_Ruang,1) Primer (m),,,,,,,,,,,,
PU_Tata_Ruang,2) Sekunder (m),,,,,,,,,,,,
PU_Tata_Ruang,3) Tersier (m),,,,,,,,,,,,
PU_Tata_Ruang,3) Luas Irigasi (Ha),,,,,,,,,,,,
PU_Tata_Ruang,4) Luas Irigasi Dalam Kondisi Baik (Ha),,,,,,,,,,,,
PU_Tata_Ruang,5) Luas Sawah Non Irigasi (Ha),,,,,,,,,,,,
PU_Tata_Ruang,2) Luas daerah irigasi teknis(Ha),,,,,,,,,,,,
PU_Tata_Ruang,3) Panjang Jaringan Sarana Irigasi Dalam Kondisi Baik(m),,,,,,,,,,,,
PU_Tata_Ruang,4) Sempadan Sungai *,,,,,,,,,,,,
PU_Tata_Ruang,1) Panjang Sempadan Sungai (Km),,,,,,,,,,,,
PU_Tata_Ruang,2) Panjang Sempadan Sungai Yang Dipakai Bangunan Liar (Km),,,,,,,,,,,,
PU_Tata_Ruang,5) Turap *,,,,,,,,,,,,
PU_Tata_Ruang,1) Jumlah Lokasi Pembangunan Turap di Wilayah Jalan Penghubung dan Aliran Sungai Rawan Longsor (Km),,,,,,,,,,,,
PU_Tata_Ruang,2) Jumlah Seluruh Wilayah Rawan Longsor (Km),,,,,,,,,,,,
PU_Tata_Ruang,6) Penyediaan Air Baku,,,,,,,,,,,,
PU_Tata_Ruang,1) Panjang sungai dalam satu kabupaten/kota(Km),,,,,,,,,,,,
PU_Tata_Ruang,"2) Jumlah kapasitas tampungan air (waduk, embung, situ, dan tampungan air lainnya) yang dikelola kabupa",,,,,,,,,,,,
