elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Sosial,1) Indeks Pembangunan Manusia (IPM) (Poin),,,,,,,,,,,,
Sosial,2) Jumlah penyandang masalah kesejahteraan sosial khusus didalam panti yang mendapatkan pemenuhan kebut,,,,,,,,,,,,
Sosial,3) Jumlah Penduduk miskin (orang),PERMEN 54,,,,,,,,,,,
Sosial,1) Pedesaan (Orang),PERMEN 54,,,,,,,,,,,
Sosial,2) Perkotaan (Orang),PERMEN 54,,,,,,,,,,,
Sosial,4) Indeks Kedalaman Kemiskinan (P1) *,,,,,,,,,,,,
Sosial,1) Pedesaan (%),,,,,,,,,,,,
Sosial,2) Perkotaan (%),,,,,,,,,,,,
Sosial,5) Indeks Keparahan Kemiskinan (P2) *,,,,,,,,,,,,
Sosial,1) Pedesaan (Orang),,,,,,,,,,,,
Sosial,2) Perkotaan (Orang),,,,,,,,,,,,
Sosial,6) Kemiskinan *,,,,,,,,,,,,
Sosial,1) Garis Kemiskinan *,,,,,,,,,,,,
Sosial,1) Garis Kemiskinan Pedesaan (Rp/Kap/Bln),,,,,,,,,,,,
Sosial,2) Garis Kemiskinan Perkotaan (Rp/Kap/Bln),,,,,,,,,,,,
Sosial,3) Jumlah Keluarga fakir miskin yang mendapatkan bantuan Kelompok Usaha Bersama (KK),,,,,,,,,,,,
Sosial,2) Penduduk Di bawah Garis Kemiskinan (Jiwa),,,,,,,,,,,,
Sosial,3) Beras Untuk Penduduk Miskin *,,,,,,,,,,,,
Sosial,1) KK (Kepala Keluarga) Penerima Raskin (KK),,,,,,,,,,,,
Sosial,2) Persentase RT (Rumah Tangga) Penerima Raskin (%),,,,,,,,,,,,
Sosial,3) Realisasi Beras Raskin (Juta/Ton),,,,,,,,,,,,
Sosial,4) Harga Beras Raskin (Rp/Kg),,,,,,,,,,,,
Sosial,4) Jumlah RTM peserta PKH,,,,,,,,,,,,
Sosial,7) Keluarga Menurut Tingkat Kesejahteraan **(KK),,,,,,,,,,,,
Sosial,1) Keluarga Prasejahtera (KK),PERMEN 54,,,,,,,,,,,
Sosial,2) Keluarga Sejahtera Tahap 1 (KK),PERMEN 54,,,,,,,,,,,
Sosial,3) Keluarga Sejahtera Tahap 2 (KK),,,,,,,,,,,,
Sosial,4) Keluarga Sejahtera Tahap 3 (KK),,,,,,,,,,,,
Sosial,5) Keluarga Sejahtera Tahap 3 Plus (KK),,,,,,,,,,,,
Sosial,"8) Jumlah Kegiatan Pembinaan terhadap LSM, Ormas dan OKP **(Kali)",,,,,,,,,,,,
Sosial,1) LSM (Lembaga Swadaya Masyarakat) (Kegiatan),PERMEN 54,,,,,,,,,,,
Sosial,2) Ormas (Organisasi Masyarakat) (Kegiatan),PERMEN 54,,,,,,,,,,,
Sosial,3) OKP (Organisasi Kemasyarakatan Pemuda) (Kegiatan),PERMEN 54,,,,,,,,,,,
Sosial,9) Potensi dan Sumber Kesejahteraan Sosial (PSKS) *,,,,,,,,,,,,
Sosial,1) Karang Taruna (Buah),,,,,,,,,,,,
Sosial,2) Tenaga Kesejahteraan Sosial Masyarakat (TKSM) (Orang),"Tenaga Kesejahteraan Sosial adalah seseorang yang dididik dan dilatih secara profesional untuk melaksanakan tugas-tugas pelayanan dan penanganan masalah sosial dan/atau seseorang yang bekerja, baik di lembaga pemerintah maupun swasta yang ruang lingkup kegiatannya di bidang kesejahteraan sosial. (UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 11 TAHUN 2009 TENTANG KESEJAHTERAAN SOSIAL )",,,,,,,,,,,
Sosial,3) Organisasi Sosial (Buah),,,,,,,,,,,,
Sosial,4) Lembaga swadaya masyarakat (Buah),,,,,,,,,,,,
Sosial,10) Jumlah PMKS **(Buah),"Penyandang Masalah Kesejahteraan Sosial yang selanjutnya disebut PMKS adalah perseorangan, keluarga, kelompok, dan/atau masyarakat yang karena suatu hambatan, kesulitan, atau gangguan, tidak dapat melaksanakan fungsi sosialnya, sehingga tidak dapat terpenuhi kebutuhan hidupnya baik jasmani, rohani, maupun sosial secara memadai dan wajar. PERATURAN MENTERI SOSIAL REPUBLIK INDONESIA NOMOR 08 TAHUN 2012 TENTANG PEDOMAN PENDATAAN DAN PENGELOLAAN DATA PENYANDANG MASALAH KESEJAHTERAAN SOSIAL DAN POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL",,,,,,,,,,,
Sosial,1) PMKS Yang Tertangani (Buah),PERMEN 54,,,,,,,,,,,
Sosial,2) PMKS Yang Seharusnya Menerima Bantuan (Buah),PERMEN 54,,,,,,,,,,,
Sosial,3) PMKS Yang Diberikan Bantuan (Buah),PERMEN 54,,,,,,,,,,,
Sosial,11) Penduduk Penyandang Masalah Sosial *,,,,,,,,,,,,
Sosial,1) Penduduk rawan Sosial dan Sarana *,,,,,,,,,,,,
Sosial,1) Anak Jalanan (Jiwa),,,,,,,,,,,,
Sosial,2) Penderita Sakit Jiwa (Jiwa),,,,,,,,,,,,
Sosial,3) Gepeng (Gembel dan Pengemis) (Jiwa),,,,,,,,,,,,
Sosial,4) Jumlah Penderita HIV/AIDS (Jiwa),,,,,,,,,,,,
Sosial,5) Jumlah Pecandu Narkoba (Jiwa),,,,,,,,,,,,
Sosial,6) Sarana Rehabilitasi Sosial (Jiwa),,,,,,,,,,,,
Sosial,7) Jumlah Penyandang Masalah Kesejahteraan Sosial yang mendapatkan pelayanan dalam panti (Jiwa),,,,,,,,,,,,
Sosial,8) Fakir Miskin (Jiwa),,,,,,,,,,,,
Sosial,9) Bayi Terlantar (Jiwa),,,,,,,,,,,,
Sosial,10) Anak Terlantar (Jiwa),,,,,,,,,,,,
Sosial,11) Lanjut Usia Terlantar (Jiwa),,,,,,,,,,,,
Sosial,12) Komunitas Adat Terpencil (Jiwa),,,,,,,,,,,,
Sosial,13) Penyandang Tuna Netra (Jiwa),,,,,,,,,,,,
Sosial,14) Penyandang Tuna Rungu (Jiwa),,,,,,,,,,,,
Sosial,15) Penyandang Tuna Wicara (Jiwa),,,,,,,,,,,,
Sosial,16) Penyandang Tuna Wicara-Rungu (Jiwa),,,,,,,,,,,,
Sosial,17) Penyandang Tuna Daksa (Jiwa),,,,,,,,,,,,
Sosial,18) Penyandang Tuna Grahita (Jiwa),,,,,,,,,,,,
Sosial,19) Penyandang Cacat Jiwa (Jiwa),,,,,,,,,,,,
Sosial,20) Penyandang Cacat Ganda/ Cacat Berat(Jiwa),,,,,,,,,,,,
Sosial,21) Tuna Susila (Jiwa),,,,,,,,,,,,
Sosial,22) Bekas Narapidana (Jiwa),,,,,,,,,,,,
Sosial,23) Pengidap HIV/AIDS (Jiwa),,,,,,,,,,,,
Sosial,24) Korban Penyalahgunaan NAPZA (Jiwa),"Narkotika, Alkohol , Psikotropika dan Zat adiktif lain",,,,,,,,,,,
Sosial,2) Jumlah Panti Asuhan *,,,,,,,,,,,,
Sosial,1) Panti Sosial Asuhan Anak (Buah),"(PERMEN 54) Menurut Depsos RI (2004: 4), Panti Sosial Asuhan anak adalah suatu lembaga usaha kesejahteraan sosial yang mempunyai tanggung jawab untuk memberikan pelayanan kesejahteraan sosial pada anak telantar dengan melaksanakan penyantunan dan pengentasan anak telantar, memberikan pelayanan pengganti orang tua/wali anak dalam memenuhi kebutuhan fisik, mental dan sosial kepada anak asuh sehingga memperoleh kesempatan yang luas,tepat dan memadai bagi pengembangan kepribadianya sesuai dengan yang diharapkan sebagai bagian dari generasi penerus cita- cita bangsa dan sebagai insan yang akan turut serta aktif dalam bidang pembangunan nasional?",,,,,,,,,,,
Sosial,2) Panti Sosial Petirahan Anak (Buah),"(PERMEN 54) Panti sosial yang mempunyai tugas memberikan bimbingan, pelayanan bagi anak yang mengalami hambatan belajar karena menyandang masalah sosial agar potensi dan kapasitas belajarnya pulih kembali dan dapat berkembang secara wajar (Kepmensos No.50/HUK/2004)",,,,,,,,,,,
Sosial,3) Panti Sosial Bina Remaja (Buah),"(PERMEN 54) Panti sosial yang mempunyai tugas memberikan bimbingan, pelayanan dan rehabilitasi bagi anak terlantar putus sekolah agar mampu mandiri dan berperan aktif dalam kehidupan bermasyarakat. (Kepmensos No.50/HUK/2004)",,,,,,,,,,,
Sosial,4) Panti Sosial Tresna Wirda (Buah),(PERMEN 54) Panti sosial yang mempunyai tugas memberikan bimbingan dan pelayanan bagi lanjut usia terlantar agar dapat hidup secara wajar dalam kehidupan bermasyarakat. (Kepmensos no.50/HUK/2004),,,,,,,,,,,
