elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Statistika,1) Kependudukan dan Catatan Sipil *,,,,,,,,,,,,
Statistika,1) Jumlah penduduk wajib KTP (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Jumlah penduduk yang memiliki KTP Berdasarkan Jenis Kelamin **(Orang),,,,,,,,,,,,
Statistika,1) Laki-Laki (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Wanita (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,3) Jumlah Penduduk > 17 yang ber-KTP Berdasarkan Jenis Kelamin **(Orang),,,,,,,,,,,,
Statistika,1) Laki-Laki (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Wanita (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,4) Jumlah Penduduk >17 yang telah menikah (Orang),,,,,,,,,,,,
Statistika,5) Jumlah Penduduk Menurut Jenis Kelamin **(Orang),,,,,,,,,,,,
Statistika,1) Laki-Laki (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Perempuan (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,6) Jumlah pasangan nikah berakta nikah (Pasang),(PERMEN 54),,,,,,,,,,,
Statistika,7) Jumlah keseluruhan pasangan nikah (Pasang),(PERMEN 54),,,,,,,,,,,
Statistika,8) Jumlah Penduduk yang telah memiliki KK (Orang),,,,,,,,,,,,
Statistika,9) Jumlah Penduduk yang telah memiliki Akta Kelahiran (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Penduduk Memiliki Lahan **(Penduduk),,,,,,,,,,,,
Statistika,1) Pertanian (Penduduk),(PERMEN 54),,,,,,,,,,,
Statistika,2) Non Pertanian (Penduduk),,,,,,,,,,,,
Statistika,3) Jumlah Keluarga Berdasarkan Mata Pencaharian **(KK),,,,,,,,,,,,
Statistika,1) Pertanian (KK),(PERMEN 54),,,,,,,,,,,
Statistika,2) Non Pertanian (KK),(PERMEN 54),,,,,,,,,,,
Statistika,4) Jumlah Penduduk Menurut Usia **(Orang),,,,,,,,,,,,
Statistika,1) 4 - 6 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) 7 - 12 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,3) 13 - 15 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,4) 16 - 18 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,5) 19 - 24 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,6) 25 - 29 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,7) 30 -34 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,8) 35 - 39 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,9) 40 - 44 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,10) 45 - 49 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,11) 50 - 54 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,12) 55 - 59 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,13) 60 - 64 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,14) > 65 Tahun (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,5) Rasio Beban Ketergantungan (Dependency Ratio) (%),,,,,,,,,,,,
Statistika,6) Kepadatan Penduduk *,,,,,,,,,,,,
Statistika,1) Kawasan Perkotaan (Org/km2),,,,,,,,,,,,
Statistika,2) Kawasan Pedesaan (Org/km2),,,,,,,,,,,,
Statistika,"7) Tingkat Pendapatan, Pengeluaran dan Tabungan *",,,,,,,,,,,,
Statistika,1) Pendapatan per Kapita (Rp),,,,,,,,,,,,
Statistika,2) Indeks Harga Konsumen (Poin),(PERMEN 54),,,,,,,,,,,
Statistika,3) Pengeluaran Riil per Kapita yang Disesuaikan (Indeks Daya Beli) *,,,,,,,,,,,,
Statistika,4) Tingkat Rataan Daya Beli (Rp Ribu/Kapita/Tahun) (Rp),,,,,,,,,,,,
Statistika,5) Total Pengeluaran (Rp),(PERMEN 54),,,,,,,,,,,
Statistika,6) Total Pengeluaran Rumah Tangga Non Pangan (Rp),(PERMEN 54),,,,,,,,,,,
Statistika,8) Ketenagakerjaan,,,,,,,,,,,,
Statistika,1) Penduduk 15 Tahun Ke atas(Orang),,,,,,,,,,,,
Statistika,1) Menurut Jenis Kegiatan (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Menurut Lapangan Pekerjaan Utama (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,3) Menurut Status Pekerjaan Utama (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Angkatan Kerja(Orang),,,,,,,,,,,,
Statistika,1) Bekerja(Orang),,,,,,,,,,,,
Statistika,1) Perempuan Bekerja (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Laki-laki Bekerja (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Mencari Pekerjaan (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,1) Perempuan Bekerja (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Laki-laki Bekerja (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,3) Kesempatan Kerja (%),,,,,,,,,,,,
Statistika,4) Jumlah Pencari Kerja Yang Mendaftarkan (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,5) Jumlah Pencari Kerja Yang Ditempatkan (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,6) Jumlah Pengangguran(Orang),,,,,,,,,,,,
Statistika,1) Pengangguran Terselubung (Orang),,,,,,,,,,,,
Statistika,2) Setengah Menganggur (Orang),,,,,,,,,,,,
Statistika,3) Pengangguran Terbuka (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,7) Tenaga Kerja Dalam Negeri(Orang),,,,,,,,,,,,
Statistika,1) Tenaga Kerja Wanita (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Tenaga Kerja Pria (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,3) Jumlah Tenaga Kerja yang Bekerja pada PMA (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,4) Jumlah Tenaga Kerja yang Bekerja pada PMDN (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,8) TKI Di Luar Negeri(Orang),,,,,,,,,,,,
Statistika,1) Tenaga Kerja Wanita (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,2) Tenaga Kerja Pria (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,9) PHK,,,,,,,,,,,,
Statistika,1) Kasus PHK (Kasus),,,,,,,,,,,,
Statistika,2) Orang Terkena PHK (Orang),,,,,,,,,,,,
Statistika,10) Rata-Rata Upah Minimum Regional/Bulan (Rupiah),,,,,,,,,,,,
Statistika,11) Pencari Kerja (Orang),,,,,,,,,,,,
Statistika,12) Angka Pekerja dengan Upah Sesuai UMR (%),,,,,,,,,,,,
Statistika,13) Rasio rata-rata penghasilan pekerja terhadap UMR (Rp.),,,,,,,,,,,,
Statistika,14) Angka Rata-rata Jam Kerja (Jam),,,,,,,,,,,,
Statistika,15) Angka partisipasi pekerja peserta ASTEK dan sejenisnya (%),,,,,,,,,,,,
Statistika,16) Angka partisipasi perusahaan peserta ASTEK dan sejenisnya (%),,,,,,,,,,,,
Statistika,17) Angka Partisipasi Jamsostek (%),,,,,,,,,,,,
Statistika,18) Angka Partisipasi Perusahaan Peserta Jamsostek (%),,,,,,,,,,,,
Statistika,9) Jumlah Penduduk Bekerja Menurut Lapangan Usaha **(Orang),,,,,,,,,,,,
Statistika,"1) Pertanian, Kehutanan, Perkebunan dan Perikanan (Orang)",(PERMEN 54),,,,,,,,,,,
Statistika,2) Pertambangan dan Penggalian (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,3) Industri Pengolahan (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,"4) Listrik, Gas dan Air (Orang)",(PERMEN 54),,,,,,,,,,,
Statistika,5) Bangunan (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,"6) Perdagangan Besar, Eceran, Rumah Makan dan Hotel (Orang)",(PERMEN 54),,,,,,,,,,,
Statistika,"7) Angkutan, Penggudangan dan Komunikasi (Orang)",(PERMEN 54),,,,,,,,,,,
Statistika,"8) Keuangan, Asuransi, Usaha Sewa Bangunan, Tanah dan Jasa Perusahaan (Orang)",(PERMEN 54),,,,,,,,,,,
Statistika,9) Jasa Kemasyarakatan (Orang),(PERMEN 54),,,,,,,,,,,
Statistika,10) Pertumbuhan Penduduk,,,,,,,,,,,,
Statistika,1) Laju Pertumbuhan Alamiah Penduduk (%/Tahun) (%),,,,,,,,,,,,
