elemen,indikator,defenisi,nilai
Tenaga_Kerja,1) Penduduk 15 Tahun ke atas(Orang),,42.7
Tenaga_Kerja,1) Menurut jenis kegiatan(Orang),PERMEN 54,11.9
Tenaga_Kerja,2) Menurut Lapangan Pekerjaan Utama(Orang),PERMEN 54,32.8
Tenaga_Kerja,3) Menurut status Pekerjaan Utama(Orang),PERMEN 54,5.4
Tenaga_Kerja,2) Angkatan Kerja(Orang),,70.6
Tenaga_Kerja,1) Bekerja(Orang),,42.5
Tenaga_Kerja,1) Perempuan Bekerja(Orang),PERMEN 54,34.5
Tenaga_Kerja,2) Laki-laki Bekerja(Orang),PERMEN 54,90
Tenaga_Kerja,2) Mencari pekerjaan(Orang),PERMEN 54,79.6
Tenaga_Kerja,1) Perempuan Mencari Pekerjaan(Orang),PERMEN 54,21.7
Tenaga_Kerja,2) Laki-laki Mencari Pekerjaan(Orang),PERMEN 54,86.2
Tenaga_Kerja,3) Kesempatan Kerja(%),,26
Tenaga_Kerja,4) Jumlah pencari kerja yang mendaftarkan(Orang),PERMEN 54,28.8
Tenaga_Kerja,5) Jumlah pencari kerja yang ditempatkan(Orang),PERMEN 54,12.2
Tenaga_Kerja,6) Jumlah Pengangguran(Orang),,53.3
Tenaga_Kerja,1) Pengangguran terselubung(Orang),,7.2
Tenaga_Kerja,2) Setengah menganggur(Orang),,47.5
Tenaga_Kerja,3) Pengangguran terbuka(Orang),PERMEN 54,62.8
Tenaga_Kerja,7) Tenaga kerja dalam negeri(Orang),PERMEN 54,12.9
Tenaga_Kerja,1) Tenaga kerja Wanita(Orang),PERMEN 54,72.9
Tenaga_Kerja,2) Tenaga kerja pria(Orang),PERMEN 54,71.2
Tenaga_Kerja,3) Jumlah tenaga kerja yang bekerja pada PMA(Orang),PERMEN 54,28.1
Tenaga_Kerja,4) Jumlah tenaga kerja yang bekerja pada PMDN(Orang),PERMEN 54,56.6
Tenaga_Kerja,8) TKI di luar Negeri(Orang),,14.6
Tenaga_Kerja,1) Tenaga kerja Wanita(Orang),PERMEN 54,69
Tenaga_Kerja,2) Tenaga kerja pria(Orang),PERMEN 54,56.5
Tenaga_Kerja,9) PHK(),,14.3
Tenaga_Kerja,1) Kasus PHK s.d Feb 2016(Kasus),,28.7
Tenaga_Kerja,2) Orang terkena PHK s.d Feb 2016(Orang),,54.3
Tenaga_Kerja,10) Rata-rata Upah Minimum Regional(Rupiah),,50.9
Tenaga_Kerja,11) Pencari Kerja(Orang),,94.4
Tenaga_Kerja,12) Angka pekerja dengan upah sesuai UMP/UMK(%),,24.8
Tenaga_Kerja,13) Rasio rata-rata penghasilan pekerja terhadap UMP/UMK(Rp.),,60.4
Tenaga_Kerja,14) Angka rata-rata jam kerja(Jam),,21.6
Tenaga_Kerja,15) angka partisipasi pekerja peserta ASTEK dan sejenisnya(%),,35.3
Tenaga_Kerja,16) angka partisipasi perusahaan peserta ASTEK dan sejenisnya(%),,46.8
Tenaga_Kerja,17) angka partisipasi jamsostek/BPJS TK(%),,2.9
Tenaga_Kerja,18) angka partisipasi perusahaan peserta jamsostek/BPJS TK(%),,99.7
Tenaga_Kerja,19) Jumlah penduduk bekerja menurut lapangan usaha(Orang),,49.8
Tenaga_Kerja,"1) Pertanian, kehutanan, perkebunan dan perikanan(Orang)",PERMEN 54,69.5
Tenaga_Kerja,2) Pertambangan dan penggalian(Orang),PERMEN 54,67.9
Tenaga_Kerja,3) Industri Pengolahan(Orang),PERMEN 54,28
Tenaga_Kerja,"4) Listrik, gas dan air(Orang)",PERMEN 54,7.7
Tenaga_Kerja,5) Bangunan(Orang),PERMEN 54,23.6
Tenaga_Kerja,"6) Perdagangan besar, eceran, rumah tangga dan hotel(Orang)",PERMEN 54,56.2
Tenaga_Kerja,"7) Angkutan, penggudangan dan komunikasi(Orang)",PERMEN 54,65
Tenaga_Kerja,"8) Keuangan, Asuransi, Usaha Sewa bangunan, tanah dan jasa perusahaan(Orang)",PERMEN 54,19.3
Tenaga_Kerja,9) Jasa kemasyarakatan(Orang),PERMEN 54,77.8
Tenaga_Kerja,20) Pemberdayaan Perempuan dan Perlindungan Anak(),,3.7
Tenaga_Kerja,21) Jumlah Pekerja Perempuan(Orang),,33.1
Tenaga_Kerja,1) Lembaga Pemerintahan(Orang),,1.5
Tenaga_Kerja,1) Jumlah Perempuan yang menempati Jabatan Esselon II(Orang),PERMEN 54,24.4
Tenaga_Kerja,2) Jumlah Perempuan yang menempati Jabatan Esselon III(Orang),PERMEN 54,77.3
Tenaga_Kerja,3) Jumlah Perempuan yang menempati Jabatan Esselon IV(Orang),PERMEN 54,96
Tenaga_Kerja,2) Lembaga Swasta(Orang),PERMEN 54,57.2
Tenaga_Kerja,22) Jumlah Tenaga Kerja dibawah Umur(Orang),,95.4
Tenaga_Kerja,1) Jumlah Tenaga kerja dibawah umur (5-14 tahun)(Orang),,75.7
Tenaga_Kerja,2) Jumlah pekerja usia 15 tahun keatas(Orang),,78.3
Tenaga_Kerja,23) Pelayanan Ketenagakerjaan(Unit),,7.2
Tenaga_Kerja,1) Balai Latihan Kerja(Unit),,39.5
Tenaga_Kerja,2) Perijinan Ketenagakerjaan(Unit),,81.9
Tenaga_Kerja,3) Pusat Informasi Ketenagakerjaan(Unit),,9.5
