elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Tenaga_Kerja,1) Penduduk 15 Tahun ke atas(Orang),,,,,,,,,,,,
Tenaga_Kerja,1) Menurut jenis kegiatan(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,2) Menurut Lapangan Pekerjaan Utama(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,3) Menurut status Pekerjaan Utama(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,2) Angkatan Kerja(Orang),,,,,,,,,,,,
Tenaga_Kerja,1) Bekerja(Orang),,,,,,,,,,,,
Tenaga_Kerja,1) Perempuan Bekerja(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,2) Laki-laki Bekerja(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,2) Mencari pekerjaan(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,1) Perempuan Mencari Pekerjaan(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,2) Laki-laki Mencari Pekerjaan(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,3) Kesempatan Kerja(%),,,,,,,,,,,,
Tenaga_Kerja,4) Jumlah pencari kerja yang mendaftarkan(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,5) Jumlah pencari kerja yang ditempatkan(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,6) Jumlah Pengangguran(Orang),,,,,,,,,,,,
Tenaga_Kerja,1) Pengangguran terselubung(Orang),,,,,,,,,,,,
Tenaga_Kerja,2) Setengah menganggur(Orang),,,,,,,,,,,,
Tenaga_Kerja,3) Pengangguran terbuka(Orang),PERMEN 54,,,,,,,,,,,
Tenaga_Kerja,7) Tenaga kerja dalam negeri(Orang),PERMEN 54,,,,,,,,,,,
