elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Transmigrasi,1) Kependudukan dan catatan sipil,,,,,,,,,,,,
Transmigrasi,1) Jumlah penduduk wajib KTP(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,2) Jumlah penduduk yang memiliki KTP berdasarkan jenis kelamin(Orang),,,,,,,,,,,,
Transmigrasi,1) Laki-laki(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,2) Wanita(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,3) Jumlah penduduk > 17 yang ber KTP berdasarkan Jenis Kelamin (Orang),,,,,,,,,,,,
Transmigrasi,1) Laki-laki(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,2) Wanita(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,4) Jumlah penduduk > 17 yang telah menikah(Orang),,,,,,,,,,,,
Transmigrasi,5) Jumlah penduduk menurut Jenis Kelamin (Orang),,,,,,,,,,,,
Transmigrasi,1) Laki-laki(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,2) Wanita(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,6) Jumlah pasangan nikah berakad nikah(Pasang),PERMEN 54,,,,,,,,,,,
Transmigrasi,7) Jumlah keseluruhan pasangan nikah(Pasang),PERMEN 54,,,,,,,,,,,
Transmigrasi,8) Jumlah penduduk yang telah memiliki KK(Orang),,,,,,,,,,,,
Transmigrasi,9) Jumlah penduduk yang telah memiliki Akte kelahiran(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,2) Penduduk Memiliki Lahan(Penduduk),,,,,,,,,,,,
Transmigrasi,1) Pertanian(Penduduk),PERMEN 54,,,,,,,,,,,
Transmigrasi,2) Non Pertanian(Penduduk),PERMEN 54,,,,,,,,,,,
Transmigrasi,3) Jumlah Keluarga berdasarkan mata pencaharian(KK),,,,,,,,,,,,
Transmigrasi,1) Pertanian(KK),PERMEN 54,,,,,,,,,,,
Transmigrasi,2) Non Pertanian(KK),PERMEN 54,,,,,,,,,,,
Transmigrasi,4) Jumlah penduduk menurut usia(Orang),,,,,,,,,,,,
Transmigrasi,1) 0-4 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,2) 5-9 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,3) 10-14 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,4) 15-19 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,5) 20-24 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,6) 25-29 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,7) 30-34 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,8) 35-39 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,9) 40-44 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,10) 45-49 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,11) 50-54 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,12) 55-59 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,13) 60-64 tahun(Orang),PERMEN 54,,,,,,,,,,,
Transmigrasi,14) 65-69 tahun(Orang),,,,,,,,,,,,
Transmigrasi,15) 70-74 tahun(%),,,,,,,,,,,,
Transmigrasi,16) >75 tahun,,,,,,,,,,,,
Transmigrasi,5) Rasio Beban Ketergantungan (Dependency ratio)(Org/km2),,,,,,,,,,,,
Transmigrasi,6) Kepadatan penduduk(Org/km2),,,,,,,,,,,,
Transmigrasi,1) Kawasan Perkotaan,,,,,,,,,,,,
Transmigrasi,2) Kawasan Pedesaan(%),,,,,,,,,,,,
Transmigrasi,7) Pertambahan Penduduk(Jiwa),PERMEN 54,,,,,,,,,,,
Transmigrasi,1) Laju pertumbuhan alamiah penduduk (%/tahun)(%),,,,,,,,,,,,
Transmigrasi,2) Jumlah kematian bayi (berumur kurang 1 tahun)(Jiwa),,,,,,,,,,,,
Transmigrasi,3) Angka kematian bayi (IMR),,,,,,,,,,,,
Transmigrasi,4) Angka kematian Ibu (MMR)(Jiwa),,,,,,,,,,,,
Transmigrasi,5) Tingkat Migrasi (masuk/keluar)(Jiwa),,,,,,,,,,,,
